P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,C,C2,C3,CN,CO,CO2,C(gr)
562.341,1.925000e+03,1.736160e-01,5.289210e-01,9.990810e-12,3.232370e-12,2.562500e-09,6.545020e-01,4.344170e-14,1.008810e-14,5.933750e-16,7.216160e-15,7.706250e-09,3.430340e-01,2.464390e-03,1.000000e+00
562.341,1.950000e+03,1.737620e-01,5.629510e-01,1.467070e-11,4.366120e-12,3.035550e-09,6.543120e-01,5.266530e-14,1.791360e-14,1.148860e-15,1.392500e-14,1.089850e-08,3.435130e-01,2.174430e-03,1.000000e+00
562.341,1.975000e+03,1.738870e-01,5.967520e-01,2.133590e-11,5.852960e-12,3.580540e-09,6.541490e-01,6.353540e-14,3.134790e-14,2.186980e-15,2.641700e-14,1.527720e-08,3.439260e-01,1.924550e-03,1.000000e+00
562.341,2.000000e+03,1.739960e-01,6.303630e-01,3.074200e-11,7.789260e-12,4.206080e-09,6.540080e-01,7.629240e-14,5.409090e-14,4.095820e-15,4.930020e-14,2.123300e-08,3.442830e-01,1.708550e-03,1.000000e+00
562.341,2.025000e+03,1.740900e-01,6.638180e-01,4.389990e-11,1.029390e-11,4.921480e-09,6.538860e-01,9.120340e-14,9.207820e-14,7.551280e-15,9.056400e-14,2.926920e-08,3.445930e-01,1.521280e-03,1.000000e+00
562.341,2.050000e+03,1.741710e-01,6.971440e-01,6.215100e-11,1.351280e-11,5.736840e-09,6.537790e-01,1.085650e-13,1.547110e-13,1.371300e-14,1.638540e-13,4.002870e-08,3.448620e-01,1.358440e-03,1.000000e+00
562.341,2.075000e+03,1.742430e-01,7.303650e-01,8.726090e-11,1.762400e-11,6.663030e-09,6.536870e-01,1.287040e-13,2.566990e-13,2.454220e-14,2.921410e-13,5.432730e-08,3.450970e-01,1.216420e-03,1.000000e+00
562.341,2.100000e+03,1.743050e-01,7.634990e-01,1.215360e-10,2.284320e-11,7.711760e-09,6.536060e-01,1.519820e-13,4.207830e-13,4.331040e-14,5.135610e-13,7.319310e-08,3.453020e-01,1.092210e-03,1.000000e+00
562.341,2.125000e+03,1.743600e-01,7.965640e-01,1.679690e-10,2.943100e-11,8.895570e-09,6.535340e-01,1.787970e-13,6.817280e-13,7.540240e-14,8.905780e-13,9.791310e-08,3.454820e-01,9.832770e-04,1.000000e+00
562.341,2.150000e+03,1.744080e-01,8.295720e-01,2.304120e-10,3.769990e-11,1.022790e-08,6.534720e-01,2.095820e-13,1.092090e-12,1.295680e-13,1.524190e-12,1.300880e-07,3.456410e-01,8.874730e-04,1.000000e+00
562.341,2.175000e+03,1.744510e-01,8.625350e-01,3.137960e-10,4.802340e-11,1.172310e-08,6.534170e-01,2.448140e-13,1.730510e-12,2.198500e-13,2.575700e-12,1.716970e-07,3.457800e-01,8.029930e-04,1.000000e+00
562.341,2.200000e+03,1.744880e-01,8.954620e-01,4.243850e-10,6.084530e-11,1.339640e-08,6.533680e-01,2.850100e-13,2.713410e-12,3.685200e-13,4.299590e-12,2.251720e-07,3.459040e-01,7.283050e-04,1.000000e+00
562.341,2.225000e+03,1.745220e-01,9.283620e-01,5.700940e-10,7.669070e-11,1.526410e-08,6.533250e-01,3.307350e-13,4.211500e-12,6.104890e-13,7.092750e-12,2.934880e-07,3.460130e-01,6.621070e-04,1.000000e+00
562.341,2.250000e+03,1.745510e-01,9.612400e-01,7.608560e-10,9.617800e-11,1.734350e-08,6.532860e-01,3.826010e-13,6.472720e-12,9.998830e-13,1.156730e-11,3.802550e-07,3.461100e-01,6.032880e-04,1.000000e+00
562.341,2.275000e+03,1.745780e-01,9.941040e-01,1.009070e-09,1.200330e-10,1.965260e-08,6.532520e-01,4.412690e-13,9.853870e-12,1.619720e-12,1.865700e-11,4.898450e-07,3.461970e-01,5.509000e-04,1.000000e+00
562.341,2.300000e+03,1.746010e-01,1.026960e+00,1.330120e-09,1.491020e-10,2.221080e-08,6.532210e-01,5.074550e-13,1.486380e-11,2.596000e-12,2.977180e-11,6.275100e-07,3.462740e-01,5.041310e-04,1.000000e+00
562.341,2.325000e+03,1.746220e-01,1.059800e+00,1.743000e-09,1.843710e-10,2.503840e-08,6.531940e-01,5.819290e-13,2.222220e-11,4.118080e-12,4.701880e-11,7.995420e-07,3.463430e-01,4.622830e-04,1.000000e+00
562.341,2.350000e+03,1.746410e-01,1.092650e+00,2.271040e-09,2.269830e-10,2.815660e-08,6.531690e-01,6.655220e-13,3.293840e-11,6.467760e-12,7.351650e-11,1.013430e-06,3.464050e-01,4.247570e-04,1.000000e+00
562.341,2.375000e+03,1.746590e-01,1.125490e+00,2.942700e-09,2.782560e-10,3.158800e-08,6.531470e-01,7.591230e-13,4.841630e-11,1.006050e-11,1.138370e-10,1.278070e-06,3.464610e-01,3.910320e-04,1.000000e+00
562.341,2.400000e+03,1.746740e-01,1.158340e+00,3.792610e-09,3.397050e-10,3.535610e-08,6.531270e-01,8.636860e-13,7.059430e-11,1.550320e-11,1.746240e-10,1.603940e-06,3.465110e-01,3.606620e-04,1.000000e+00
562.341,2.425000e+03,1.746880e-01,1.191190e+00,4.862650e-09,4.130710e-10,3.948540e-08,6.531080e-01,9.802320e-13,1.021280e-10,2.367490e-11,2.654410e-10,2.003380e-06,3.465560e-01,3.332560e-04,1.000000e+00
562.341,2.450000e+03,1.747010e-01,1.224050e+00,6.203270e-09,5.003380e-10,4.400170e-08,6.530920e-01,1.109850e-12,1.466300e-10,3.583760e-11,3.999460e-10,2.490820e-06,3.465970e-01,3.084760e-04,1.000000e+00
