P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,Si,SiO,SiO2,Si2,SiN,SiO2(a-qz),SiO2(b-qz),SiO2(b-crt),SiO2(L)
0.001,1.125000e+03,3.346710e-15,8.987360e-01,4.880240e-18,6.615660e-08,1.053890e-04,7.945720e-01,2.053220e-01,4.464440e-40,1.146980e-19,1.605900e-15,7.007340e-73,5.640790e-42,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.150000e+03,1.286690e-14,9.281670e-01,1.479160e-17,1.191400e-07,1.303400e-04,7.945600e-01,2.053100e-01,1.031630e-38,7.347820e-19,6.173770e-15,1.762270e-70,1.174940e-40,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.175000e+03,4.668580e-14,9.577110e-01,4.277520e-17,2.092880e-07,1.597480e-04,7.945450e-01,2.052950e-01,2.084110e-37,4.345540e-18,2.239910e-14,3.497010e-68,2.149760e-39,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.200000e+03,1.604480e-13,9.873680e-01,1.183710e-16,3.591730e-07,1.941380e-04,7.945280e-01,2.052780e-01,3.711970e-36,2.384430e-17,7.697160e-14,5.557320e-66,3.483180e-38,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.225000e+03,5.216380e-13,1.017140e+00,3.142980e-16,6.030490e-07,2.340620e-04,7.945080e-01,2.052580e-01,5.846860e-35,1.213860e-16,2.502000e-13,7.103590e-64,5.011850e-37,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.250000e+03,1.617010e-12,1.047010e+00,8.027050e-16,9.918790e-07,2.800910e-04,7.944850e-01,2.052340e-01,8.242270e-34,5.785240e-16,7.753880e-13,7.467060e-62,6.479130e-36,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.275000e+03,4.793000e-12,1.077000e+00,1.976410e-15,1.600090e-06,3.328190e-04,7.944580e-01,2.052080e-01,1.046690e-32,2.591390e-15,2.297460e-12,6.529700e-60,7.573010e-35,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.300000e+03,1.362070e-11,1.107100e+00,4.701330e-15,2.534520e-06,3.928550e-04,7.944280e-01,2.051770e-01,1.204650e-31,1.094880e-14,6.525310e-12,4.801020e-58,8.049710e-34,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.325000e+03,3.720160e-11,1.137310e+00,1.082510e-14,3.946010e-06,4.608230e-04,7.943930e-01,2.051420e-01,1.263560e-30,4.377830e-14,1.780840e-11,2.997410e-56,7.823280e-33,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.350000e+03,9.788010e-11,1.167630e+00,2.417090e-14,6.044270e-06,5.373590e-04,7.943540e-01,2.051030e-01,1.214150e-29,1.661700e-13,4.680410e-11,1.603590e-54,6.986450e-32,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.375000e+03,2.486210e-10,1.198060e+00,5.242390e-14,9.116700e-06,6.231060e-04,7.943100e-01,2.050580e-01,1.073910e-28,6.004560e-13,1.187060e-10,7.413860e-53,5.759570e-31,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.400000e+03,6.109130e-10,1.228610e+00,1.106150e-13,1.355180e-05,7.187130e-04,7.942600e-01,2.050080e-01,8.782560e-28,2.071080e-12,2.910900e-10,2.985440e-51,4.402010e-30,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.425000e+03,1.455000e-09,1.259280e+00,2.273950e-13,1.986770e-05,8.248320e-04,7.942050e-01,2.049510e-01,6.668470e-27,6.835500e-12,6.913790e-10,1.054770e-49,3.131650e-29,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.450000e+03,3.365080e-09,1.290090e+00,4.560420e-13,2.874780e-05,9.421130e-04,7.941420e-01,2.048870e-01,4.719080e-26,2.163690e-11,1.593160e-09,3.291870e-48,2.081460e-28,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.475000e+03,7.570950e-09,1.321020e+00,8.933780e-13,4.108200e-05,1.071200e-03,7.940730e-01,2.048150e-01,3.123750e-25,6.582610e-11,3.567220e-09,9.133050e-47,1.297000e-27,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.500000e+03,1.659890e-08,1.352100e+00,1.711510e-12,5.801710e-05,1.212740e-03,7.939960e-01,2.047340e-01,1.940610e-24,1.928620e-10,7.772360e-09,2.265930e-45,7.601410e-27,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.525000e+03,3.552360e-08,1.383350e+00,3.210030e-12,8.101560e-05,1.367350e-03,7.939090e-01,2.046430e-01,1.135030e-23,5.451960e-10,1.650100e-08,5.055180e-44,4.202830e-26,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.550000e+03,7.433190e-08,1.414760e+00,5.900280e-12,1.119240e-04,1.535660e-03,7.938130e-01,2.045400e-01,6.268400e-23,1.489600e-09,3.417860e-08,1.019370e-42,2.198420e-25,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.575000e+03,1.523220e-07,1.446370e+00,1.063860e-11,1.530520e-04,1.718260e-03,7.937050e-01,2.044240e-01,3.277790e-22,3.940130e-09,6.915000e-08,1.867000e-41,1.090820e-24,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.600000e+03,3.061750e-07,1.478210e+00,1.883350e-11,2.072610e-04,1.915730e-03,7.935850e-01,2.042920e-01,1.627050e-21,1.010500e-08,1.368060e-07,3.119930e-40,5.146960e-24,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.625000e+03,6.046190e-07,1.510290e+00,3.276290e-11,2.780690e-04,2.128620e-03,7.934500e-01,2.041430e-01,7.685440e-21,2.516400e-08,2.649380e-07,4.777400e-39,2.314810e-23,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.650000e+03,1.174800e-06,1.542670e+00,5.605070e-11,3.697610e-04,2.357450e-03,7.932990e-01,2.039730e-01,3.462370e-20,6.092860e-08,5.027280e-07,6.730250e-38,9.944900e-23,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
