Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
3225,0.00101325,9.139010e-03,4.169550e+03,2.153560e+07,1.345330e+00,3.453440e-05,7.655000e-05
3250,0.00101325,9.133250e-03,3.989180e+03,2.163750e+07,1.357210e+00,3.424710e-05,7.695960e-05
3275,0.00101325,9.128250e-03,3.834400e+03,2.173530e+07,1.368500e+00,3.396710e-05,7.737140e-05
3300,0.00101325,9.123910e-03,3.701490e+03,2.182940e+07,1.379110e+00,3.369370e-05,7.778510e-05
3325,0.00101325,9.120130e-03,3.587310e+03,2.192050e+07,1.388990e+00,3.342650e-05,7.820030e-05
3350,0.00101325,9.116840e-03,3.489200e+03,2.200890e+07,1.398100e+00,3.316510e-05,7.861690e-05
3375,0.00101325,9.113960e-03,3.404900e+03,2.209510e+07,1.406430e+00,3.290910e-05,7.903480e-05
3400,0.00101325,9.111450e-03,3.332520e+03,2.217930e+07,1.413970e+00,3.265810e-05,7.945370e-05
3425,0.00101325,9.109240e-03,3.270480e+03,2.226180e+07,1.420740e+00,3.241180e-05,7.987350e-05
3450,0.00101325,9.107300e-03,3.217470e+03,2.234290e+07,1.426730e+00,3.217010e-05,8.029410e-05
3475,0.00101325,9.105590e-03,3.172400e+03,2.242270e+07,1.431980e+00,3.193270e-05,8.071540e-05
3500,0.00101325,9.104080e-03,3.134410e+03,2.250160e+07,1.436480e+00,3.169930e-05,8.113730e-05
3525,0.00101325,9.102730e-03,3.102820e+03,2.257950e+07,1.440260e+00,3.146990e-05,8.155990e-05
3550,0.00101325,9.101530e-03,3.077130e+03,2.265680e+07,1.443310e+00,3.124410e-05,8.198290e-05
3575,0.00101325,9.100460e-03,3.057000e+03,2.273340e+07,1.445610e+00,3.102190e-05,8.240640e-05
3600,0.00101325,9.099480e-03,3.042240e+03,2.280970e+07,1.447150e+00,3.080320e-05,8.283040e-05
3625,0.00101325,9.098590e-03,3.032840e+03,2.288560e+07,1.447890e+00,3.058780e-05,8.325490e-05
3650,0.00101325,9.097760e-03,3.028930e+03,2.296130e+07,1.447780e+00,3.037550e-05,8.367980e-05
3675,0.00101325,9.096980e-03,3.030810e+03,2.303710e+07,1.446750e+00,3.016630e-05,8.410510e-05
3700,0.00101325,9.096230e-03,3.038970e+03,2.311290e+07,1.444720e+00,2.996000e-05,8.453090e-05
3725,0.00101325,9.095500e-03,3.054070e+03,2.318910e+07,1.441610e+00,2.975650e-05,8.495720e-05
3750,0.00101325,9.094770e-03,3.077000e+03,2.326570e+07,1.437310e+00,2.955580e-05,8.538400e-05
3775,0.00101325,9.094010e-03,3.108860e+03,2.334300e+07,1.431720e+00,2.935760e-05,8.581140e-05
3800,0.00101325,9.093210e-03,3.150980e+03,2.342120e+07,1.424760e+00,2.916190e-05,8.623960e-05
3825,0.00101325,9.092340e-03,3.204950e+03,2.350070e+07,1.416350e+00,2.896850e-05,8.666850e-05
3850,0.00101325,9.091370e-03,3.272640e+03,2.358160e+07,1.406460e+00,2.877730e-05,8.709830e-05
3875,0.00101325,9.090280e-03,3.356180e+03,2.366440e+07,1.395100e+00,2.858830e-05,8.752920e-05
3900,0.00101325,9.089040e-03,3.457970e+03,2.374960e+07,1.382320e+00,2.840110e-05,8.796140e-05
3925,0.00101325,9.087600e-03,3.580650e+03,2.383750e+07,1.368270e+00,2.821570e-05,8.839500e-05
3950,0.00101325,9.085920e-03,3.727080e+03,2.392880e+07,1.353130e+00,2.803200e-05,8.883020e-05
3975,0.00101325,9.083960e-03,3.900260e+03,2.402410e+07,1.337160e+00,2.784970e-05,8.926750e-05
4000,0.00101325,9.081650e-03,4.103240e+03,2.412400e+07,1.320670e+00,2.766860e-05,8.970700e-05
200,0.00180184,2.772030e-02,1.191100e+03,-8.321660e+06,1.336570e+00,3.003660e-03,1.026650e-05
225,0.00180184,2.772030e-02,1.214530e+03,-8.291600e+06,1.327960e+00,2.669920e-03,1.132950e-05
250,0.00180184,2.772030e-02,1.240840e+03,-8.260910e+06,1.318810e+00,2.402920e-03,1.237060e-05
275,0.00180184,2.772000e-02,1.271640e+03,-8.229520e+06,1.308850e+00,2.184450e-03,1.338940e-05
300,0.00180184,2.771880e-02,1.309880e+03,-8.197270e+06,1.297690e+00,2.002330e-03,1.438470e-05
325,0.00180184,2.771500e-02,1.362440e+03,-8.163910e+06,1.284490e+00,1.848050e-03,1.545390e-05
350,0.00180184,2.770420e-02,1.442970e+03,-8.128920e+06,1.268080e+00,1.715380e-03,1.651180e-05
375,0.00180184,2.767840e-02,1.574280e+03,-8.091340e+06,1.247690e+00,1.599520e-03,1.755250e-05
400,0.00180184,2.762320e-02,1.789080e+03,-8.049510e+06,1.224200e+00,1.496560e-03,1.856420e-05
425,0.00180184,2.751730e-02,2.126760e+03,-8.000860e+06,1.200660e+00,1.403130e-03,1.952780e-05
450,0.00180184,2.733330e-02,2.623880e+03,-7.941840e+06,1.180910e+00,1.316320e-03,2.041570e-05
475,0.00180184,2.704290e-02,3.302350e+03,-7.868150e+06,1.167140e+00,1.233790e-03,2.119620e-05
500,0.00180184,2.662510e-02,4.181380e+03,-7.775070e+06,1.158470e+00,1.153990e-03,2.184580e-05
525,0.00180184,2.606840e-02,5.389040e+03,-7.656450e+06,1.151630e+00,1.076060e-03,2.227220e-05
550,0.00180184,2.534370e-02,7.447550e+03,-7.498720e+06,1.145480e+00,9.985940e-04,2.260500e-05
575,0.00180184,2.434720e-02,1.139710e+04,-7.268220e+06,1.148100e+00,9.176210e-04,2.290940e-05
600,0.00180184,2.291800e-02,1.784280e+04,-6.907490e+06,1.168400e+00,8.277670e-04,2.324290e-05
625,0.00180184,2.102880e-02,2.555430e+04,-6.364900e+06,1.199820e+00,7.291510e-04,2.365460e-05
650,0.00180184,1.893970e-02,3.110750e+04,-5.647380e+06,1.223440e+00,6.314530e-04,2.436550e-05
675,0.00180184,1.708190e-02,3.035210e+04,-4.863320e+06,1.222360e+00,5.484230e-04,2.545710e-05
