Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,HNC,C(gr)
1.0,0.001,9.250000e+02,0.000000e+00,-8.532360e-01,4.653410e-30,5.890660e-09,4.389220e-23,4.081890e-23,5.955720e-05,5.125090e-19,2.821750e-01,2.393230e-04,1.380430e-34,3.993250e-24,6.505140e-11,1.553790e-33,6.257480e-45,2.973930e-21,5.047880e-45,5.902500e-07,5.111130e-01,2.145790e-04,2.061980e-01,1.174220e-19,3.145010e-35,1.947860e-31,9.816570e-30,1.816890e-21,3.747460e-10,1.000000e+00
1.0,0.001,9.500000e+02,0.000000e+00,-7.978480e-01,5.457430e-29,1.258630e-08,1.526850e-22,2.082270e-22,4.400030e-05,2.295690e-18,2.824100e-01,1.334430e-04,2.397860e-33,2.770850e-23,1.406400e-10,2.735910e-32,2.379660e-43,1.390210e-20,2.008020e-43,9.254000e-07,5.111210e-01,1.349410e-04,2.061560e-01,1.575190e-19,2.776800e-34,2.051120e-30,3.402610e-29,2.258370e-21,7.279330e-10,1.000000e+00
1.0,0.001,9.750000e+02,0.000000e+00,-7.432590e-01,5.641030e-28,2.587760e-08,4.984550e-22,9.774600e-22,3.298970e-05,9.519060e-18,2.825390e-01,7.667510e-05,3.596180e-32,1.740140e-22,2.921420e-10,4.153950e-31,7.505620e-42,6.002190e-20,6.608860e-42,1.417500e-06,5.111310e-01,8.686670e-05,2.061320e-01,2.080460e-19,2.193390e-33,1.914160e-29,1.106970e-28,2.773550e-21,1.366440e-09,1.000000e+00
1.0,0.001,1.000000e+03,0.000000e+00,-6.890050e-01,5.187860e-27,5.134440e-08,1.534620e-21,4.248570e-21,2.507540e-05,3.674970e-17,2.826120e-01,4.531110e-05,4.708090e-31,9.965310e-22,5.848120e-10,5.499160e-30,1.991130e-40,2.407700e-19,1.825370e-40,2.125060e-06,5.111410e-01,5.715120e-05,2.061180e-01,2.708990e-19,1.562950e-32,1.597480e-28,3.396550e-28,3.368800e-21,2.485110e-09,1.000000e+00
1.0,0.001,1.025000e+03,0.000000e+00,-6.348540e-01,4.281400e-26,9.856590e-08,4.475140e-21,1.719510e-20,1.930470e-05,1.327870e-16,2.826540e-01,2.748660e-05,5.434350e-30,5.239210e-21,1.131250e-09,6.411530e-29,4.499360e-39,9.021830e-19,4.285510e-39,3.122870e-06,5.111490e-01,3.837160e-05,2.061080e-01,3.481580e-19,1.012250e-31,1.202000e-27,9.871820e-28,4.050400e-21,4.388900e-09,1.000000e+00
1.0,0.001,1.050000e+03,0.000000e+00,-5.806820e-01,3.195260e-25,1.835030e-07,1.240910e-20,6.513100e-20,1.504020e-05,4.511870e-16,2.826790e-01,1.708530e-05,5.580260e-29,2.544290e-20,2.119780e-09,6.643520e-28,8.760120e-38,3.173240e-18,8.652020e-38,4.504990e-06,5.111550e-01,2.625440e-05,2.061020e-01,4.420750e-19,5.999280e-31,8.214660e-27,2.728350e-27,4.824500e-21,7.542750e-09,1.000000e+00
1.0,0.001,1.075000e+03,0.000000e+00,-5.264180e-01,2.171660e-24,3.320220e-07,3.283460e-20,2.319510e-19,1.184900e-05,1.447830e-15,2.826950e-01,1.086400e-05,5.139310e-28,1.147620e-19,3.856380e-09,6.168510e-27,1.484870e-36,1.052320e-17,1.517970e-36,6.387810e-06,5.111600e-01,1.828290e-05,2.060980e-01,5.550790e-19,3.273850e-30,5.133330e-26,7.195690e-27,5.697090e-21,1.263850e-08,1.000000e+00
1.0,0.001,1.100000e+03,0.000000e+00,-4.720180e-01,1.352730e-23,5.849760e-07,8.316980e-20,7.799160e-19,9.432920e-06,4.404850e-15,2.827040e-01,7.056020e-06,4.276790e-27,4.832330e-19,6.825090e-09,5.170820e-26,2.212010e-35,3.303470e-17,2.336650e-35,8.913380e-06,5.111630e-01,1.294290e-05,2.060940e-01,6.897590e-19,1.654270e-29,2.951070e-25,1.816760e-26,6.673970e-21,2.068240e-08,1.000000e+00
1.0,0.001,1.125000e+03,0.000000e+00,-4.174560e-01,7.767570e-23,1.005360e-06,2.022570e-19,2.485440e-18,7.583390e-06,1.275090e-14,2.827110e-01,4.674330e-06,3.237640e-26,1.908240e-18,1.177280e-08,3.940010e-25,2.921080e-34,9.852890e-17,3.183400e-34,1.225270e-05,5.111640e-01,9.304520e-06,2.060910e-01,8.488580e-19,7.779630e-29,1.569420e-24,4.403870e-26,7.760700e-21,3.310810e-08,1.000000e+00
1.0,0.001,1.150000e+03,0.000000e+00,-3.627160e-01,4.133480e-22,1.688170e-06,4.734760e-19,7.533150e-18,6.152850e-06,3.523380e-14,2.827150e-01,3.154350e-06,2.243440e-25,7.096570e-18,1.982570e-08,2.745980e-24,3.446430e-33,2.801420e-16,3.869130e-33,1.660910e-05,5.111640e-01,6.785840e-06,2.060870e-01,1.035270e-18,3.420980e-28,7.760370e-24,1.027620e-25,8.962600e-21,5.191810e-08,1.000000e+00
