Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,C(gr)
0.2,177.828,3.875000e+03,1.535810e-01,5.009150e+00,1.760290e-04,1.959860e-02,4.870570e-07,5.756550e-05,1.357980e-05,8.643760e-03,3.244340e-01,6.307780e-06,2.633880e-04,3.894190e-03,1.843410e-02,2.224390e-03,8.828120e-05,3.329580e-03,1.705810e-04,9.600970e-02,4.200190e-02,7.161320e-06,4.801030e-01,1.334150e-09,1.864910e-07,1.777300e-04,3.082430e-08,1.604400e-11,7.103510e-05,8.129760e-05,7.311740e-05,4.505800e-06,3.284630e-10,5.952190e-07,1.336580e-04,5.896180e-15,9.582990e-16,3.140630e-11,1.969110e-06,1.000000e+00
0.2,177.828,3.900000e+03,1.567000e-01,5.103620e+00,2.026310e-04,2.018950e-02,5.260060e-07,6.329820e-05,1.256470e-05,9.394220e-03,3.239770e-01,6.126930e-06,3.089570e-04,4.271150e-03,1.861420e-02,2.597380e-03,1.083840e-04,3.505590e-03,2.089760e-04,9.667060e-02,4.065250e-02,6.763830e-06,4.786300e-01,1.292360e-09,2.109590e-07,2.025620e-04,3.307180e-08,1.472750e-11,7.851370e-05,8.466360e-05,7.139320e-05,4.247760e-06,2.920650e-10,6.152150e-07,1.352200e-04,5.615120e-15,8.723410e-16,3.306540e-11,2.000500e-06,1.000000e+00
0.2,177.828,3.925000e+03,1.600080e-01,5.202050e+00,2.328280e-04,2.078000e-02,5.674620e-07,6.951250e-05,1.161450e-05,1.019800e-02,3.234790e-01,5.952190e-06,3.616520e-04,4.676460e-03,1.877410e-02,3.026660e-03,1.327070e-04,3.684450e-03,2.553170e-04,9.726780e-02,3.932290e-02,6.385960e-06,4.770950e-01,1.250300e-09,2.382160e-07,2.304450e-04,3.544000e-08,1.349200e-11,8.662320e-05,8.803020e-05,6.962260e-05,3.999290e-06,2.592980e-10,6.346080e-07,1.365640e-04,5.336510e-15,7.925210e-16,3.478280e-11,2.030740e-06,1.000000e+00
0.2,177.828,3.950000e+03,1.635300e-01,5.304870e+00,2.670490e-04,2.136910e-02,6.115330e-07,7.623990e-05,1.072550e-05,1.105790e-02,3.229370e-01,5.783150e-06,4.224670e-04,5.111440e-03,1.891320e-02,3.519730e-03,1.620590e-04,3.865710e-03,3.111040e-04,9.779890e-02,3.801340e-02,6.026680e-06,4.754900e-01,1.208060e-09,2.685230e-07,2.616970e-04,3.793110e-08,1.233510e-11,9.539990e-05,9.138670e-05,6.781030e-05,3.760340e-06,2.298400e-10,6.533010e-07,1.376820e-04,5.061120e-15,7.185390e-16,3.655820e-11,2.059740e-06,1.000000e+00
0.2,177.828,3.975000e+03,1.672960e-01,5.412590e+00,3.057630e-04,2.195560e-02,6.583270e-07,8.351330e-05,9.894440e-06,1.197670e-02,3.223460e-01,5.619360e-06,4.925140e-04,5.577390e-03,1.903100e-02,4.084990e-03,1.973910e-04,4.048850e-03,3.780890e-04,9.826190e-02,3.672440e-02,5.685020e-06,4.738070e-01,1.165700e-09,3.021610e-07,2.966630e-04,4.054670e-08,1.125400e-11,1.048810e-04,9.472240e-05,6.596040e-05,3.530860e-06,2.033920e-10,6.711940e-07,1.385670e-04,4.789670e-15,6.500950e-16,3.839050e-11,2.087400e-06,1.000000e+00
0.2,177.828,4.000000e+03,1.713400e-01,5.525740e+00,3.494890e-04,2.253850e-02,7.079470e-07,9.136670e-05,9.118050e-06,1.295720e-02,3.217000e-01,5.460440e-06,5.730420e-04,6.075570e-03,1.912690e-02,4.731790e-03,2.398150e-04,4.233310e-03,4.583180e-04,9.865410e-02,3.545590e-02,5.360040e-06,4.720350e-01,1.123280e-09,3.394230e-07,3.357140e-04,4.328780e-08,1.024560e-11,1.151020e-04,9.802550e-05,6.407730e-05,3.310750e-06,1.796790e-10,6.881860e-07,1.392120e-04,4.522820e-15,5.868900e-16,4.027840e-11,2.113610e-06,1.000000e+00
0.2,177.828,4.025000e+03,1.757010e-01,5.644940e+00,3.987960e-04,2.311670e-02,7.604950e-07,9.983510e-05,8.393220e-06,1.400230e-02,3.209930e-01,5.305980e-06,6.654450e-04,6.607210e-03,1.920030e-02,5.470530e-03,2.906310e-04,4.418500e-03,5.541720e-04,9.897320e-02,3.420830e-02,5.050880e-06,4.701660e-01,1.080880e-09,3.806220e-07,3.792490e-04,4.615440e-08,9.307170e-12,1.261020e-04,1.012840e-04,6.216510e-05,3.099890e-06,1.584470e-10,7.041750e-07,1.396110e-04,4.261160e-15,5.286320e-16,4.221980e-11,2.138260e-06,1.000000e+00
0.2,177.828,4.050000e+03,1.804210e-01,5.770850e+00,4.543060e-04,2.368900e-02,8.160680e-07,1.089540e-04,7.716990e-06,1.511490e-02,3.202200e-01,5.155590e-06,7.712780e-04,7.173470e-03,1.925060e-02,6.312740e-03,3.513510e-04,4.603750e-03,6.684190e-04,9.921640e-02,3.298160e-02,4.756700e-06,4.681890e-01,1.038550e-09,4.260850e-07,4.276980e-04,4.914560e-08,8.435480e-12,1.379150e-04,1.044850e-04,6.022780e-05,2.898140e-06,1.394640e-10,7.190580e-07,1.397600e-04,4.005230e-15,4.750350e-16,4.421230e-11,2.161220e-06,1.000000e+00
0.2,177.828,4.075000e+03,1.855510e-01,5.904220e+00,5.167030e-04,2.425400e-02,8.747560e-07,1.187610e-04,7.086520e-06,1.629780e-02,3.193720e-01,5.008910e-06,8.922750e-04,7.775440e-03,1.927730e-02,7.271210e-03,4.237380e-04,4.788390e-03,8.042640e-04,9.938090e-02,3.177580e-02,4.476710e-06,4.660910e-01,9.963530e-10,4.761560e-07,4.815180e-04,5.225920e-08,7.627450e-12,1.505780e-04,1.076150e-04,5.826930e-05,2.705330e-06,1.225150e-10,7.327340e-07,1.396530e-04,3.755510e-15,4.258200e-16,4.625240e-11,2.182370e-06,1.000000e+00
0.2,177.828,4.100000e+03,1.911460e-01,6.045860e+00,5.867350e-04,2.481050e-02,9.366400e-07,1.292940e-04,6.499110e-06,1.755380e-02,3.184410e-01,4.865560e-06,1.030360e-03,8.414110e-03,1.927980e-02,8.360080e-03,5.098330e-04,4.971640e-03,9.654150e-04,9.946360e-02,3.059090e-02,4.210150e-06,4.638580e-01,9.543340e-10,5.311890e-07,5.412000e-04,5.549210e-08,6.879950e-12,1.641250e-04,1.106600e-04,5.629310e-05,2.521300e-06,1.074050e-10,7.450990e-07,1.392860e-04,3.512450e-15,3.807150e-16,4.833610e-11,2.201560e-06,1.000000e+00
