Tw_K,P_atm,M[kg/kmol],Cp[kJ/kg-K],h[kJ/kg],gamma[-],rho[kg/m3],mu[millipoise]
425,0.00177828,2.182250e+01,2.738060e+00,-6.840280e+03,1.197790e+00,1.112750e-03,1.816000e-01
450,0.00177828,2.167110e+01,3.352710e+00,-6.764490e+03,1.179210e+00,1.043640e-03,1.900150e-01
475,0.00177828,2.144300e+01,4.108940e+00,-6.671460e+03,1.166970e+00,9.783020e-04,1.976260e-01
500,0.00177828,2.113600e+01,4.976150e+00,-6.558180e+03,1.158590e+00,9.160810e-04,2.043890e-01
525,0.00177828,2.075430e+01,6.187860e+00,-6.420000e+03,1.148970e+00,8.567050e-04,2.102230e-01
550,0.00177828,2.026410e+01,8.695230e+00,-6.238160e+03,1.138750e+00,7.984490e-04,2.158740e-01
575,0.00177828,1.954380e+01,1.377480e+01,-5.963330e+03,1.141560e+00,7.365860e-04,2.217950e-01
600,0.00177828,1.846150e+01,2.126040e+01,-5.528730e+03,1.162580e+00,6.668020e-04,2.284520e-01
625,0.00177828,1.705420e+01,2.865110e+01,-4.900270e+03,1.189050e+00,5.913340e-04,2.367310e-01
650,0.00177828,1.559950e+01,3.064200e+01,-4.140750e+03,1.199270e+00,5.200920e-04,2.478800e-01
675,0.00177828,1.450320e+01,2.227190e+01,-3.458530e+03,1.179260e+00,4.656320e-04,2.605320e-01
700,0.00177828,1.397150e+01,1.039280e+01,-3.058020e+03,1.164620e+00,4.325390e-04,2.711270e-01
725,0.00177828,1.380660e+01,4.784480e+00,-2.881580e+03,1.202690e+00,4.126970e-04,2.791130e-01
750,0.00177828,1.376540e+01,3.274520e+00,-2.785240e+03,1.249230e+00,3.977500e-04,2.860110e-01
775,0.00177828,1.375510e+01,2.940210e+00,-2.708650e+03,1.266190e+00,3.846300e-04,2.925690e-01
800,0.00177828,1.375090e+01,2.996710e+00,-2.635290e+03,1.260750e+00,3.724980e-04,2.989830e-01
825,0.00177828,1.373200e+01,4.304310e+00,-2.549430e+03,1.208860e+00,3.607120e-04,3.052490e-01
850,0.00177828,1.362220e+01,8.620300e+00,-2.390970e+03,1.170350e+00,3.473040e-04,3.111140e-01
875,0.00177828,1.339490e+01,1.144920e+01,-2.133950e+03,1.172370e+00,3.317530e-04,3.164760e-01
