Tw_K,P_atm,M[kg/kmol],Cp[kJ/kg-K],h[kJ/kg],gamma[-],rho[kg/m3],mu[millipoise]
3300,1,9.518840e+00,2.133990e+01,1.651470e+04,1.217330e+00,3.515220e-02,7.691600e-01
3325,1,9.434080e+00,2.219930e+01,1.705890e+04,1.221550e+00,3.457720e-02,7.724800e-01
3350,1,9.346900e+00,2.306300e+01,1.762470e+04,1.225910e+00,3.400200e-02,7.757090e-01
3375,1,9.257480e+00,2.392520e+01,1.821200e+04,1.230360e+00,3.342730e-02,7.788420e-01
3400,1,9.166000e+00,2.477930e+01,1.882080e+04,1.234870e+00,3.285360e-02,7.818760e-01
3425,1,9.072680e+00,2.561850e+01,1.945090e+04,1.239410e+00,3.228180e-02,7.848060e-01
3450,1,8.977780e+00,2.643560e+01,2.010160e+04,1.243940e+00,3.171260e-02,7.876310e-01
3475,1,8.881550e+00,2.722350e+01,2.077240e+04,1.248420e+00,3.114700e-02,7.903470e-01
3500,1,8.784280e+00,2.797520e+01,2.146250e+04,1.252810e+00,3.058580e-02,7.929510e-01
3525,1,8.686250e+00,2.868400e+01,2.217080e+04,1.257070e+00,3.003000e-02,7.954420e-01
3550,1,8.587790e+00,2.934400e+01,2.289630e+04,1.261170e+00,2.948050e-02,7.978170e-01
3575,1,8.489170e+00,2.994980e+01,2.363750e+04,1.265070e+00,2.893820e-02,8.000750e-01
3600,1,8.390720e+00,3.049680e+01,2.439330e+04,1.268750e+00,2.840390e-02,8.022160e-01
3625,1,8.292710e+00,3.098130e+01,2.516190e+04,1.272170e+00,2.787860e-02,8.042380e-01
3650,1,8.195440e+00,3.140060e+01,2.594180e+04,1.275320e+00,2.736280e-02,8.061430e-01
3675,1,8.099170e+00,3.175290e+01,2.673130e+04,1.278190e+00,2.685750e-02,8.079310e-01
3700,1,8.004140e+00,3.203720e+01,2.752890e+04,1.280750e+00,2.636300e-02,8.096060e-01
3725,1,7.910590e+00,3.225330e+01,2.833260e+04,1.283010e+00,2.588000e-02,8.111700e-01
3750,1,7.818730e+00,3.240190e+01,2.914100e+04,1.284950e+00,2.540890e-02,8.126290e-01
3775,1,7.728720e+00,3.248440e+01,2.995220e+04,1.286590e+00,2.495010e-02,8.139870e-01
3800,1,7.640740e+00,3.250290e+01,3.076460e+04,1.287920e+00,2.450380e-02,8.152510e-01
3825,1,7.554910e+00,3.245970e+01,3.157680e+04,1.288960e+00,2.407020e-02,8.164300e-01
3850,1,7.471350e+00,3.235800e+01,3.238710e+04,1.289710e+00,2.364940e-02,8.175310e-01
3875,1,7.390160e+00,3.220120e+01,3.319420e+04,1.290190e+00,2.324150e-02,8.185650e-01
3900,1,7.311390e+00,3.199290e+01,3.399680e+04,1.290420e+00,2.284640e-02,8.195410e-01
3925,1,7.235090e+00,3.173730e+01,3.479350e+04,1.290410e+00,2.246400e-02,8.204710e-01
3950,1,7.161310e+00,3.143840e+01,3.558330e+04,1.290180e+00,2.209410e-02,8.213670e-01
3975,1,7.090040e+00,3.110050e+01,3.636510e+04,1.289750e+00,2.173670e-02,8.222380e-01
4000,1,7.021300e+00,3.072780e+01,3.713800e+04,1.289150e+00,2.139140e-02,8.230980e-01
200,1.77828,2.199600e+01,1.511860e+00,-7.246370e+03,1.333370e+00,2.383390e+00,9.196210e-02
225,1.77828,2.199600e+01,1.533540e+00,-7.208310e+03,1.327120e+00,2.118570e+00,1.024210e-01
250,1.77828,2.199600e+01,1.559620e+00,-7.169660e+03,1.319900e+00,1.906720e+00,1.127750e-01
275,1.77828,2.199600e+01,1.591990e+00,-7.130270e+03,1.311380e+00,1.733380e+00,1.230010e-01
300,1.77828,2.199600e+01,1.630640e+00,-7.090000e+03,1.301790e+00,1.588930e+00,1.330750e-01
325,1.77828,2.199590e+01,1.675060e+00,-7.048690e+03,1.291510e+00,1.466690e+00,1.432680e-01
350,1.77828,2.199560e+01,1.724870e+00,-7.006210e+03,1.280860e+00,1.361910e+00,1.533310e-01
375,1.77828,2.199480e+01,1.780140e+00,-6.962410e+03,1.270090e+00,1.271080e+00,1.632510e-01
400,1.77828,2.199330e+01,1.841640e+00,-6.917150e+03,1.259310e+00,1.191550e+00,1.730180e-01
425,1.77828,2.199020e+01,1.910910e+00,-6.870260e+03,1.248590e+00,1.121300e+00,1.826230e-01
450,1.77828,2.198470e+01,1.990420e+00,-6.821520e+03,1.237970e+00,1.058740e+00,1.920580e-01
475,1.77828,2.197510e+01,2.083620e+00,-6.770630e+03,1.227470e+00,1.002580e+00,2.013130e-01
500,1.77828,2.195970e+01,2.195200e+00,-6.717180e+03,1.217130e+00,9.517850e-01,2.103730e-01
525,1.77828,2.193590e+01,2.331390e+00,-6.660660e+03,1.206990e+00,9.054800e-01,2.189430e-01
550,1.77828,2.190060e+01,2.500660e+00,-6.600340e+03,1.197110e+00,8.629290e-01,2.272490e-01
575,1.77828,2.184980e+01,2.714850e+00,-6.535250e+03,1.187540e+00,8.234970e-01,2.352710e-01
600,1.77828,2.177880e+01,2.991230e+00,-6.464080e+03,1.178360e+00,7.866180e-01,2.429880e-01
625,1.77828,2.168130e+01,3.355320e+00,-6.384970e+03,1.169690e+00,7.517740e-01,2.502180e-01
650,1.77828,2.154940e+01,3.844110e+00,-6.295280e+03,1.161850e+00,7.184630e-01,2.571010e-01
675,1.77828,2.137270e+01,4.506800e+00,-6.191310e+03,1.155500e+00,6.861800e-01,2.636380e-01
700,1.77828,2.113770e+01,5.398810e+00,-6.068030e+03,1.151650e+00,6.543980e-01,2.698470e-01
725,1.77828,2.082860e+01,6.565040e+00,-5.919080e+03,1.151460e+00,6.225940e-01,2.757560e-01
750,1.77828,2.043010e+01,8.017460e+00,-5.737370e+03,1.155750e+00,5.903260e-01,2.814110e-01
775,1.77828,1.993150e+01,9.719350e+00,-5.516110e+03,1.164650e+00,5.573400e-01,2.868800e-01
800,1.77828,1.933150e+01,1.158180e+01,-5.250050e+03,1.177580e+00,5.236710e-01,2.922720e-01
825,1.77828,1.864150e+01,1.346210e+01,-4.936860e+03,1.193260e+00,4.896770e-01,2.977510e-01
850,1.77828,1.788620e+01,1.515670e+01,-4.578480e+03,1.209840e+00,4.560180e-01,3.035150e-01
875,1.77828,1.710250e+01,1.639780e+01,-4.182790e+03,1.224890e+00,4.235790e-01,3.097500e-01
900,1.77828,1.633550e+01,1.687900e+01,-3.764930e+03,1.235710e+00,3.933430e-01,3.165530e-01
925,1.77828,1.563240e+01,1.633580e+01,-3.347420e+03,1.239920e+00,3.662410e-01,3.238530e-01
950,1.77828,1.503490e+01,1.468770e+01,-2.957440e+03,1.236580e+00,3.429710e-01,3.314080e-01
975,1.77828,1.456960e+01,1.219010e+01,-2.620220e+03,1.227580e+00,3.238360e-01,3.388870e-01
1000,1.77828,1.424110e+01,9.438230e+00,-2.350070e+03,1.217870e+00,3.086220e-01,3.460220e-01
1025,1.77828,1.403090e+01,7.074540e+00,-2.144970e+03,1.212990e+00,2.966500e-01,3.525020e-01
1050,1.77828,1.390680e+01,5.417560e+00,-1.990350e+03,1.214690e+00,2.870260e-01,3.585880e-01
1075,1.77828,1.383730e+01,4.414170e+00,-1.868610e+03,1.220040e+00,2.789490e-01,3.644020e-01
1100,1.77828,1.379920e+01,3.861830e+00,-1.765890e+03,1.225030e+00,2.718580e-01,3.700420e-01
1125,1.77828,1.377810e+01,3.582900e+00,-1.673260e+03,1.227630e+00,2.654110e-01,3.755710e-01
1150,1.77828,1.376560e+01,3.478440e+00,-1.585320e+03,1.227360e+00,2.594050e-01,3.810220e-01
1175,1.77828,1.375570e+01,3.541530e+00,-1.497980e+03,1.223580e+00,2.537040e-01,3.864090e-01
1200,1.77828,1.374160e+01,3.881500e+00,-1.405960e+03,1.215360e+00,2.481630e-01,3.917310e-01
1225,1.77828,1.371180e+01,4.661310e+00,-1.300150e+03,1.205670e+00,2.425730e-01,3.969630e-01
1250,1.77828,1.365400e+01,5.762660e+00,-1.170100e+03,1.201370e+00,2.367170e-01,4.020780e-01
1275,1.77828,1.356540e+01,6.771500e+00,-1.012890e+03,1.202550e+00,2.305710e-01,4.070760e-01
1300,1.77828,1.345430e+01,7.495360e+00,-8.339680e+02,1.205220e+00,2.242850e-01,4.119890e-01
1325,1.77828,1.333020e+01,7.987930e+00,-6.400530e+02,1.207350e+00,2.180230e-01,4.168510e-01
1350,1.77828,1.319980e+01,8.349020e+00,-4.356600e+02,1.208380e+00,2.118930e-01,4.216920e-01
1375,1.77828,1.306690e+01,8.658220e+00,-2.230280e+02,1.208220e+00,2.059460e-01,4.265310e-01
1400,1.77828,1.293340e+01,8.973000e+00,-2.698430e+00,1.206960e+00,2.002020e-01,4.313820e-01
1425,1.77828,1.279990e+01,9.335000e+00,2.260190e+02,1.204780e+00,1.946590e-01,4.362590e-01
1450,1.77828,1.266610e+01,9.772570e+00,4.646850e+02,1.201970e+00,1.893030e-01,4.411710e-01
1475,1.77828,1.253130e+01,1.029890e+01,7.153930e+02,1.198920e+00,1.841130e-01,4.461260e-01
1500,1.77828,1.239450e+01,1.090590e+01,9.803120e+02,1.196070e+00,1.790690e-01,4.511290e-01
1525,1.77828,1.225530e+01,1.155360e+01,1.261040e+03,1.193840e+00,1.741550e-01,4.561810e-01
1550,1.77828,1.211370e+01,1.215820e+01,1.557650e+03,1.192500e+00,1.693660e-01,4.612790e-01
1575,1.77828,1.197110e+01,1.258660e+01,1.867490e+03,1.192170e+00,1.647160e-01,4.664110e-01
1600,1.77828,1.183080e+01,1.267480e+01,2.184130e+03,1.192780e+00,1.602410e-01,4.715590e-01
1625,1.77828,1.169720e+01,1.229140e+01,2.497270e+03,1.194240e+00,1.559950e-01,4.766980e-01
1650,1.77828,1.157570e+01,1.143130e+01,2.794680e+03,1.196650e+00,1.520360e-01,4.818030e-01
1675,1.77828,1.147040e+01,1.025630e+01,3.066180e+03,1.200290e+00,1.484040e-01,4.868580e-01
1700,1.77828,1.138270e+01,9.012030e+00,3.306940e+03,1.205340e+00,1.451040e-01,4.918580e-01
1725,1.77828,1.131180e+01,7.892180e+00,3.517850e+03,1.211500e+00,1.421100e-01,4.968080e-01
1750,1.77828,1.125500e+01,6.978420e+00,3.703290e+03,1.218140e+00,1.393760e-01,5.017170e-01
1775,1.77828,1.120970e+01,6.269410e+00,3.868490e+03,1.224620e+00,1.368600e-01,5.065950e-01
1800,1.77828,1.117330e+01,5.729730e+00,4.018170e+03,1.230510e+00,1.345210e-01,5.114480e-01
1825,1.77828,1.114390e+01,5.319830e+00,4.156060e+03,1.235600e+00,1.323290e-01,5.162810e-01
1850,1.77828,1.111990e+01,5.006990e+00,4.284970e+03,1.239850e+00,1.302600e-01,5.210960e-01
1875,1.77828,1.110020e+01,4.766820e+00,4.407010e+03,1.243280e+00,1.282950e-01,5.258960e-01
1900,1.77828,1.108380e+01,4.581730e+00,4.523770e+03,1.245950e+00,1.264200e-01,5.306820e-01
1925,1.77828,1.107010e+01,4.439160e+00,4.636450e+03,1.247920e+00,1.246240e-01,5.354530e-01
1950,1.77828,1.105850e+01,4.329980e+00,4.746000e+03,1.249280e+00,1.228980e-01,5.402120e-01
1975,1.77828,1.104870e+01,4.247520e+00,4.853170e+03,1.250080e+00,1.212340e-01,5.449590e-01
2000,1.77828,1.104020e+01,4.186800e+00,4.958560e+03,1.250400e+00,1.196260e-01,5.496940e-01
2025,1.77828,1.103270e+01,4.144090e+00,5.062660e+03,1.250280e+00,1.180700e-01,5.542520e-01
2050,1.77828,1.102610e+01,4.116540e+00,5.165890e+03,1.249790e+00,1.165600e-01,5.587960e-01
2075,1.77828,1.102020e+01,4.102010e+00,5.268590e+03,1.248950e+00,1.150940e-01,5.633260e-01
2100,1.77828,1.101470e+01,4.098850e+00,5.371080e+03,1.247830e+00,1.136680e-01,5.678420e-01
2125,1.77828,1.100960e+01,4.105810e+00,5.473620e+03,1.246440e+00,1.122780e-01,5.723460e-01
2150,1.77828,1.100480e+01,4.121980e+00,5.576450e+03,1.244820e+00,1.109240e-01,5.768370e-01
2175,1.77828,1.100010e+01,4.146670e+00,5.679790e+03,1.243000e+00,1.096020e-01,5.813150e-01
2200,1.77828,1.099550e+01,4.179390e+00,5.783850e+03,1.240990e+00,1.083110e-01,5.857820e-01
2225,1.77828,1.099080e+01,4.219820e+00,5.888830e+03,1.238840e+00,1.070480e-01,5.902370e-01
2250,1.77828,1.098600e+01,4.267780e+00,5.994900e+03,1.236540e+00,1.058130e-01,5.946810e-01
2275,1.77828,1.098100e+01,4.323170e+00,6.102280e+03,1.234130e+00,1.046030e-01,5.991140e-01
2300,1.77828,1.097580e+01,4.385990e+00,6.211120e+03,1.231610e+00,1.034170e-01,6.035370e-01
2325,1.77828,1.097030e+01,4.456310e+00,6.321640e+03,1.229020e+00,1.022540e-01,6.079500e-01
2350,1.77828,1.096450e+01,4.534280e+00,6.434000e+03,1.226350e+00,1.011120e-01,6.123530e-01
2375,1.77828,1.095820e+01,4.620070e+00,6.548420e+03,1.223650e+00,9.999030e-02,6.167470e-01
2400,1.77828,1.095150e+01,4.713910e+00,6.665070e+03,1.220910e+00,9.888780e-02,6.211320e-01
2425,1.77828,1.094420e+01,4.816070e+00,6.784180e+03,1.218150e+00,9.780310e-02,6.255090e-01
2450,1.77828,1.093630e+01,4.926850e+00,6.905950e+03,1.215400e+00,9.673530e-02,6.298770e-01
2475,1.77828,1.092770e+01,5.046570e+00,7.030600e+03,1.212670e+00,9.568330e-02,6.342370e-01
2500,1.77828,1.091840e+01,5.175570e+00,7.158360e+03,1.209970e+00,9.464610e-02,6.385900e-01
2525,1.77828,1.090840e+01,5.314230e+00,7.289460e+03,1.207330e+00,9.362290e-02,6.429350e-01
2550,1.77828,1.089750e+01,5.462950e+00,7.424150e+03,1.204750e+00,9.261260e-02,6.472730e-01
2575,1.77828,1.088580e+01,5.622120e+00,7.562690e+03,1.202260e+00,9.161430e-02,6.516040e-01
2600,1.77828,1.087300e+01,5.792170e+00,7.705350e+03,1.199860e+00,9.062720e-02,6.559290e-01
2625,1.77828,1.085920e+01,5.973540e+00,7.852400e+03,1.197580e+00,8.965040e-02,6.602470e-01
2650,1.77828,1.084440e+01,6.166680e+00,8.004120e+03,1.195410e+00,8.868310e-02,6.645580e-01
2675,1.77828,1.082840e+01,6.372060e+00,8.160830e+03,1.193390e+00,8.772440e-02,6.688620e-01
2700,1.77828,1.081110e+01,6.590160e+00,8.322830e+03,1.191500e+00,8.677370e-02,6.731600e-01
2725,1.77828,1.079250e+01,6.821470e+00,8.490450e+03,1.189780e+00,8.583010e-02,6.774510e-01
2750,1.77828,1.077260e+01,7.066500e+00,8.664020e+03,1.188220e+00,8.489280e-02,6.817350e-01
2775,1.77828,1.075130e+01,7.325760e+00,8.843890e+03,1.186830e+00,8.396130e-02,6.860110e-01
2800,1.77828,1.072840e+01,7.599790e+00,9.030430e+03,1.185620e+00,8.303470e-02,6.902790e-01
2825,1.77828,1.070400e+01,7.889120e+00,9.224010e+03,1.184600e+00,8.211240e-02,6.945390e-01
2850,1.77828,1.067790e+01,8.194330e+00,9.425020e+03,1.183780e+00,8.119370e-02,6.987890e-01
2875,1.77828,1.065010e+01,8.515960e+00,9.633860e+03,1.183150e+00,8.027800e-02,7.030280e-01
2900,1.77828,1.062050e+01,8.854610e+00,9.850960e+03,1.182720e+00,7.936480e-02,7.072560e-01
2925,1.77828,1.058900e+01,9.210850e+00,1.007670e+04,1.182500e+00,7.845340e-02,7.114710e-01
2950,1.77828,1.055560e+01,9.585280e+00,1.031170e+04,1.182490e+00,7.754330e-02,7.156720e-01
2975,1.77828,1.052020e+01,9.978490e+00,1.055620e+04,1.182700e+00,7.663390e-02,7.198570e-01
3000,1.77828,1.048280e+01,1.039110e+01,1.081070e+04,1.183120e+00,7.572480e-02,7.240230e-01
3025,1.77828,1.044320e+01,1.082360e+01,1.107590e+04,1.183750e+00,7.481540e-02,7.281700e-01
3050,1.77828,1.040150e+01,1.127670e+01,1.135210e+04,1.184610e+00,7.390550e-02,7.322940e-01
3075,1.77828,1.035750e+01,1.175080e+01,1.163990e+04,1.185690e+00,7.299450e-02,7.363930e-01
3100,1.77828,1.031110e+01,1.224640e+01,1.193980e+04,1.186990e+00,7.208210e-02,7.404640e-01
3125,1.77828,1.026250e+01,1.276390e+01,1.225240e+04,1.188510e+00,7.116790e-02,7.445050e-01
3150,1.77828,1.021140e+01,1.330360e+01,1.257820e+04,1.190250e+00,7.025180e-02,7.485110e-01
3175,1.77828,1.015790e+01,1.386580e+01,1.291780e+04,1.192220e+00,6.933350e-02,7.524790e-01
3200,1.77828,1.010200e+01,1.445040e+01,1.327170e+04,1.194410e+00,6.841280e-02,7.564070e-01
3225,1.77828,1.004350e+01,1.505720e+01,1.364050e+04,1.196830e+00,6.748960e-02,7.602890e-01
3250,1.77828,9.982510e+00,1.568600e+01,1.402470e+04,1.199450e+00,6.656380e-02,7.641230e-01
3275,1.77828,9.919010e+00,1.633580e+01,1.442490e+04,1.202300e+00,6.563550e-02,7.679040e-01
3300,1.77828,9.853000e+00,1.700570e+01,1.484170e+04,1.205350e+00,6.470480e-02,7.716280e-01
3325,1.77828,9.784500e+00,1.769440e+01,1.527540e+04,1.208600e+00,6.377180e-02,7.752910e-01
3350,1.77828,9.713540e+00,1.839980e+01,1.572650e+04,1.212030e+00,6.283690e-02,7.788900e-01
3375,1.77828,9.640180e+00,1.911980e+01,1.619550e+04,1.215650e+00,6.190040e-02,7.824200e-01
3400,1.77828,9.564480e+00,1.985150e+01,1.668260e+04,1.219430e+00,6.096280e-02,7.858780e-01
3425,1.77828,9.486540e+00,2.059160e+01,1.718810e+04,1.223350e+00,6.002460e-02,7.892600e-01
3450,1.77828,9.406450e+00,2.133650e+01,1.771220e+04,1.227400e+00,5.908650e-02,7.925630e-01
3475,1.77828,9.324350e+00,2.208200e+01,1.825500e+04,1.231550e+00,5.814940e-02,7.957830e-01
3500,1.77828,9.240380e+00,2.282350e+01,1.881630e+04,1.235780e+00,5.721420e-02,7.989170e-01
3525,1.77828,9.154710e+00,2.355610e+01,1.939610e+04,1.240060e+00,5.628170e-02,8.019630e-01
3550,1.77828,9.067520e+00,2.427490e+01,1.999400e+04,1.244350e+00,5.535310e-02,8.049170e-01
3575,1.77828,8.979010e+00,2.497480e+01,2.060970e+04,1.248640e+00,5.442950e-02,8.077770e-01
3600,1.77828,8.889410e+00,2.565060e+01,2.124250e+04,1.252880e+00,5.351210e-02,8.105410e-01
3625,1.77828,8.798920e+00,2.629750e+01,2.189190e+04,1.257050e+00,5.260210e-02,8.132060e-01
3650,1.77828,8.707800e+00,2.691090e+01,2.255710e+04,1.261120e+00,5.170080e-02,8.157710e-01
3675,1.77828,8.616270e+00,2.748640e+01,2.323720e+04,1.265060e+00,5.080940e-02,8.182330e-01
3700,1.77828,8.524570e+00,2.802040e+01,2.393110e+04,1.268850e+00,4.992900e-02,8.205930e-01
3725,1.77828,8.432940e+00,2.850960e+01,2.463780e+04,1.272450e+00,4.906080e-02,8.228480e-01
3750,1.77828,8.341620e+00,2.895120e+01,2.535620e+04,1.275850e+00,4.820600e-02,8.249980e-01
3775,1.77828,8.250830e+00,2.934330e+01,2.608500e+04,1.279030e+00,4.736560e-02,8.270430e-01
3800,1.77828,8.160780e+00,2.968420e+01,2.682290e+04,1.281980e+00,4.654040e-02,8.289850e-01
3825,1.77828,8.071680e+00,2.997300e+01,2.756870e+04,1.284690e+00,4.573140e-02,8.308230e-01
3850,1.77828,7.983700e+00,3.020930e+01,2.832110e+04,1.287140e+00,4.493920e-02,8.325620e-01
3875,1.77828,7.897030e+00,3.039320e+01,2.907880e+04,1.289330e+00,4.416460e-02,8.342030e-01
3900,1.77828,7.811810e+00,3.052540e+01,2.984040e+04,1.291270e+00,4.340790e-02,8.357500e-01
3925,1.77828,7.728190e+00,3.060660e+01,3.060460e+04,1.292940e+00,4.266970e-02,8.372090e-01
3950,1.77828,7.646280e+00,3.063840e+01,3.137030e+04,1.294360e+00,4.195030e-02,8.385850e-01
3975,1.77828,7.566190e+00,3.062250e+01,3.213610e+04,1.295530e+00,4.124980e-02,8.398840e-01
4000,1.77828,7.488020e+00,3.056060e+01,3.290100e+04,1.296460e+00,4.056850e-02,8.411130e-01
200,3.16228,2.199600e+01,1.511860e+00,-7.246370e+03,1.333370e+00,4.238340e+00,9.196210e-02
225,3.16228,2.199600e+01,1.533540e+00,-7.208310e+03,1.327120e+00,3.767410e+00,1.024210e-01
250,3.16228,2.199600e+01,1.559620e+00,-7.169660e+03,1.319900e+00,3.390670e+00,1.127750e-01
275,3.16228,2.199600e+01,1.591960e+00,-7.130280e+03,1.311380e+00,3.082430e+00,1.230010e-01
300,3.16228,2.199600e+01,1.630540e+00,-7.090010e+03,1.301800e+00,2.825560e+00,1.330750e-01
325,3.16228,2.199590e+01,1.674760e+00,-7.048700e+03,1.291550e+00,2.608200e+00,1.432680e-01
350,3.16228,2.199570e+01,1.724070e+00,-7.006230e+03,1.280980e+00,2.421870e+00,1.533310e-01
375,3.16228,2.199510e+01,1.778290e+00,-6.962460e+03,1.270320e+00,2.260360e+00,1.632520e-01
400,3.16228,2.199400e+01,1.837780e+00,-6.917270e+03,1.259730e+00,2.118970e+00,1.730210e-01
425,3.16228,2.199170e+01,1.903530e+00,-6.870520e+03,1.249290e+00,1.994120e+00,1.826320e-01
450,3.16228,2.198750e+01,1.977240e+00,-6.822030e+03,1.239050e+00,1.882980e+00,1.920760e-01
475,3.16228,2.198030e+01,2.061430e+00,-6.771570e+03,1.229000e+00,1.783290e+00,2.013470e-01
500,3.16228,2.196870e+01,2.159610e+00,-6.718840e+03,1.219170e+00,1.693230e+00,2.104350e-01
525,3.16228,2.195080e+01,2.276520e+00,-6.663430e+03,1.209560e+00,1.611290e+00,2.190490e-01
550,3.16228,2.192400e+01,2.418650e+00,-6.604800e+03,1.200190e+00,1.536170e+00,2.274210e-01
575,3.16228,2.188540e+01,2.595030e+00,-6.542210e+03,1.191070e+00,1.466790e+00,2.355360e-01
600,3.16228,2.183110e+01,2.818490e+00,-6.474660e+03,1.182220e+00,1.402190e+00,2.433790e-01
625,3.16228,2.175630e+01,3.107470e+00,-6.400750e+03,1.173720e+00,1.341490e+00,2.507700e-01
650,3.16228,2.165490e+01,3.488030e+00,-6.318530e+03,1.165790e+00,1.283880e+00,2.578480e-01
675,3.16228,2.151870e+01,3.994920e+00,-6.225290e+03,1.158880e+00,1.228550e+00,2.646090e-01
700,3.16228,2.133740e+01,4.669320e+00,-6.117380e+03,1.153720e+00,1.174700e+00,2.710600e-01
725,3.16228,2.109880e+01,5.550410e+00,-5.990100e+03,1.151270e+00,1.121510e+00,2.772150e-01
750,3.16228,2.078930e+01,6.661240e+00,-5.837940e+03,1.152410e+00,1.068220e+00,2.830990e-01
775,3.16228,2.039730e+01,7.995170e+00,-5.655170e+03,1.157630e+00,1.014270e+00,2.887490e-01
800,3.16228,1.991590e+01,9.510110e+00,-5.436660e+03,1.166850e+00,9.593830e-01,2.942240e-01
825,3.16228,1.934650e+01,1.112930e+01,-5.178790e+03,1.179480e+00,9.037120e-01,2.996170e-01
850,3.16228,1.869990e+01,1.274140e+01,-4.880250e+03,1.194460e+00,8.478170e-01,3.050620e-01
875,3.16228,1.799700e+01,1.419570e+01,-4.543020e+03,1.210290e+00,7.926350e-01,3.107200e-01
900,3.16228,1.726720e+01,1.530200e+01,-4.173350e+03,1.225090e+00,7.393710e-01,3.167400e-01
925,3.16228,1.654620e+01,1.584450e+01,-3.782620e+03,1.236710e+00,6.893490e-01,3.232110e-01
950,3.16228,1.587140e+01,1.562600e+01,-3.387490e+03,1.243130e+00,6.438360e-01,3.301100e-01
975,3.16228,1.527730e+01,1.454580e+01,-3.008560e+03,1.243130e+00,6.038440e-01,3.372850e-01
1000,3.16228,1.478950e+01,1.269460e+01,-2.666700e+03,1.237180e+00,5.699480e-01,3.445030e-01
1025,3.16228,1.441940e+01,1.040390e+01,-2.377540e+03,1.228050e+00,5.421300e-01,3.513250e-01
1050,3.16228,1.416110e+01,8.153330e+00,-2.146150e+03,1.220100e+00,5.197430e-01,3.578040e-01
1075,3.16228,1.399440e+01,6.333340e+00,-1.966200e+03,1.216690e+00,5.016820e-01,3.639300e-01
1100,3.16228,1.389320e+01,5.075190e+00,-1.824740e+03,1.217940e+00,4.867350e-01,3.697760e-01
1125,3.16228,1.383400e+01,4.298330e+00,-1.708420e+03,1.221250e+00,4.738890e-01,3.754260e-01
1150,3.16228,1.379970e+01,3.855680e+00,-1.607040e+03,1.224040e+00,4.624390e-01,3.809470e-01
1175,3.16228,1.377960e+01,3.627340e+00,-1.513860e+03,1.225050e+00,4.519400e-01,3.863780e-01
1200,3.16228,1.376670e+01,3.551430e+00,-1.424430e+03,1.223820e+00,4.421100e-01,3.917440e-01
1225,3.16228,1.375570e+01,3.637760e+00,-1.334970e+03,1.219780e+00,4.327400e-01,3.970530e-01
1250,3.16228,1.373990e+01,3.981360e+00,-1.240410e+03,1.212620e+00,4.235990e-01,4.023000e-01
1275,3.16228,1.370960e+01,4.691440e+00,-1.132770e+03,1.205200e+00,4.143780e-01,4.074680e-01
1300,3.16228,1.365480e+01,5.656510e+00,-1.003640e+03,1.202290e+00,4.047840e-01,4.125360e-01
1325,3.16228,1.357330e+01,6.567340e+00,-8.504630e+02,1.203610e+00,3.947760e-01,4.175060e-01
1350,3.16228,1.347110e+01,7.267330e+00,-6.770800e+02,1.206140e+00,3.845470e-01,4.224030e-01
1375,3.16228,1.335570e+01,7.784860e+00,-4.886260e+02,1.208170e+00,3.743220e-01,4.272550e-01
1400,3.16228,1.323280e+01,8.195890e+00,-2.887200e+02,1.209190e+00,3.642540e-01,4.320860e-01
1425,3.16228,1.310570e+01,8.565840e+00,-7.916870e+01,1.209170e+00,3.544270e-01,4.369130e-01
1450,3.16228,1.297620e+01,8.942530e+00,1.396320e+02,1.208220e+00,3.448750e-01,4.417510e-01
1475,3.16228,1.284500e+01,9.359040e+00,3.682930e+02,1.206570e+00,3.356010e-01,4.466110e-01
1500,3.16228,1.271190e+01,9.834790e+00,6.080820e+02,1.204510e+00,3.265900e-01,4.515000e-01
1525,3.16228,1.257680e+01,1.037330e+01,8.605620e+02,1.202400e+00,3.178200e-01,4.564260e-01
1550,3.16228,1.243910e+01,1.095640e+01,1.127130e+03,1.200600e+00,3.092700e-01,4.613920e-01
1575,3.16228,1.229880e+01,1.153650e+01,1.408360e+03,1.199400e+00,3.009300e-01,4.663990e-01
1600,3.16228,1.215680e+01,1.203020e+01,1.703240e+03,1.198990e+00,2.928070e-01,4.714400e-01
1625,3.16228,1.201500e+01,1.232130e+01,2.008190e+03,1.199370e+00,2.849380e-01,4.765060e-01
1650,3.16228,1.187650e+01,1.228740e+01,2.316590e+03,1.200460e+00,2.773860e-01,4.815800e-01
1675,3.16228,1.174560e+01,1.185460e+01,2.619210e+03,1.202170e+00,2.702350e-01,4.866410e-01
1700,3.16228,1.162660e+01,1.105550e+01,2.906230e+03,1.204550e+00,2.635630e-01,4.916720e-01
1725,3.16228,1.152250e+01,1.003230e+01,3.170100e+03,1.207750e+00,2.574180e-01,4.966620e-01
1750,3.16228,1.143430e+01,8.965720e+00,3.407500e+03,1.211800e+00,2.517980e-01,5.016080e-01
1775,3.16228,1.136110e+01,7.991530e+00,3.619180e+03,1.216520e+00,2.466620e-01,5.065140e-01
1800,3.16228,1.130100e+01,7.170460e+00,3.808370e+03,1.221540e+00,2.419500e-01,5.113870e-01
1825,3.16228,1.125180e+01,6.507570e+00,3.979030e+03,1.226480e+00,2.375960e-01,5.162330e-01
1850,3.16228,1.121140e+01,5.982340e+00,4.134890e+03,1.231080e+00,2.335440e-01,5.210570e-01
