Bg,P_atm,regime,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH,CH4,CO,CO2,CN,C2H,"C2H2,acetylene",C3,C3H,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,C(gr)
2.0,0.001,OK,9.750000e+02,0.000000e+00,-6.413410e-01,5.641030e-28,2.900230e-08,4.380980e-22,7.122470e-22,1.928210e-25,5.204820e-05,2.483260e-01,5.923030e-05,6.936270e-18,1.950260e-22,3.669510e-10,4.153950e-31,3.609840e-29,7.505620e-42,7.539180e-20,6.608860e-42,1.157610e-06,6.420170e-01,9.589850e-05,1.094480e-01,1.000000e+00
2.0,0.001,OK,1.000000e+03,0.000000e+00,-5.715840e-01,5.187860e-27,5.754400e-08,1.348790e-21,3.095810e-21,1.213610e-24,3.956190e-05,2.483900e-01,3.500210e-05,2.677840e-17,1.116860e-21,7.345660e-10,5.499160e-30,3.288020e-28,1.991130e-40,3.024240e-19,1.825370e-40,1.735440e-06,6.420300e-01,6.309350e-05,1.094400e-01,1.000000e+00
2.0,0.001,OK,1.025000e+03,0.000000e+00,-5.019450e-01,4.281400e-26,1.104670e-07,3.933250e-21,1.252950e-20,6.980560e-24,3.045730e-05,2.484280e-01,2.123290e-05,9.675810e-17,5.871830e-21,1.420930e-09,6.411530e-29,2.687150e-27,4.499360e-39,1.133210e-18,4.285510e-39,2.550300e-06,6.420400e-01,4.236130e-05,1.094350e-01,1.000000e+00
2.0,0.001,OK,1.050000e+03,0.000000e+00,-4.322830e-01,3.195260e-25,2.056600e-07,1.090650e-20,4.745890e-20,3.693030e-23,2.372910e-05,2.484500e-01,1.319820e-05,3.287660e-16,2.851500e-20,2.662590e-09,6.643520e-28,1.985750e-26,8.760120e-38,3.985820e-18,8.652020e-38,3.679010e-06,6.420490e-01,2.898420e-05,1.094320e-01,1.000000e+00
2.0,0.001,OK,1.075000e+03,0.000000e+00,-3.625060e-01,2.171660e-24,3.721130e-07,2.885870e-20,1.690150e-19,1.807560e-22,1.869440e-05,2.484640e-01,8.392320e-06,1.054990e-15,1.286200e-19,4.843890e-09,6.168510e-27,1.336230e-25,1.484870e-36,1.321790e-17,1.517970e-36,5.216620e-06,6.420550e-01,2.018390e-05,1.094290e-01,1.000000e+00
2.0,0.001,OK,1.100000e+03,0.000000e+00,-2.925620e-01,1.352730e-23,6.556100e-07,7.309900e-20,5.682980e-19,8.228630e-22,1.488250e-05,2.484720e-01,5.450680e-06,3.209660e-15,5.415830e-19,8.572830e-09,5.170820e-26,8.240190e-25,2.212010e-35,4.149410e-17,2.336650e-35,7.279120e-06,6.420590e-01,1.428870e-05,1.094260e-01,1.000000e+00
2.0,0.001,OK,1.125000e+03,0.000000e+00,-2.224170e-01,7.767570e-23,1.126750e-06,1.777670e-19,1.811050e-18,3.500950e-21,1.196450e-05,2.484780e-01,3.610860e-06,9.291140e-15,2.138650e-18,1.478760e-08,3.940010e-25,4.684030e-24,2.921080e-34,1.237600e-16,3.183400e-34,1.000610e-05,6.420610e-01,1.027200e-05,1.094240e-01,1.000000e+00
2.0,0.001,OK,1.150000e+03,0.000000e+00,-1.520470e-01,4.133480e-22,1.892010e-06,4.161440e-19,5.489120e-18,1.398260e-20,9.707550e-06,2.484810e-01,2.436700e-06,2.567350e-14,7.953470e-18,2.490260e-08,2.745980e-24,2.467390e-23,3.446430e-33,3.518810e-16,3.869130e-33,1.356370e-05,6.420620e-01,7.491450e-06,1.094210e-01,1.000000e+00
2.0,0.001,OK,1.175000e+03,0.000000e+00,-8.143610e-02,2.048380e-21,3.108640e-06,9.400370e-19,1.587370e-17,5.263640e-20,7.944780e-06,2.484840e-01,1.673060e-06,6.791980e-14,2.796280e-17,4.100510e-08,1.760500e-23,1.210330e-22,3.659240e-32,9.566660e-16,4.225930e-32,1.814700e-05,6.420610e-01,5.537730e-06,1.094190e-01,1.000000e+00
2.0,0.001,OK,1.200000e+03,0.000000e+00,-1.057060e-02,9.495080e-21,5.004440e-06,2.053610e-18,4.392680e-17,1.874530e-19,6.555290e-06,2.484850e-01,1.167530e-06,1.724980e-13,9.326940e-17,6.611350e-08,1.043720e-22,5.553280e-22,3.519410e-31,2.493980e-15,4.175580e-31,2.398300e-05,6.420590e-01,4.145630e-06,1.094150e-01,1.000000e+00
2.0,0.001,OK,1.225000e+03,0.000000e+00,6.056330e-02,4.133870e-20,7.903460e-06,4.347590e-18,1.166340e-16,6.336980e-19,5.450530e-06,2.484860e-01,8.272590e-07,4.216340e-13,2.960980e-16,1.045120e-07,5.749370e-22,2.393080e-21,3.084860e-30,6.250420e-15,3.755440e-30,3.133300e-05,6.420540e-01,3.140600e-06,1.094110e-01,1.000000e+00
2.0,0.001,OK,1.250000e+03,0.000000e+00,1.319800e-01,1.696750e-19,1.225890e-05,8.936150e-18,2.978750e-16,2.039930e-18,4.564920e-06,2.484860e-01,5.946060e-07,9.941400e-13,8.973460e-16,1.621750e-07,2.955730e-21,9.722130e-21,2.478050e-29,1.509520e-14,3.091750e-29,4.049480e-05,6.420470e-01,2.405970e-06,1.094060e-01,1.000000e+00
2.0,0.001,OK,1.275000e+03,0.000000e+00,2.036970e-01,6.588440e-19,1.869450e-05,1.786390e-17,7.334160e-16,6.271110e-18,3.849480e-06,2.484860e-01,4.331760e-07,2.265900e-12,2.603170e-15,2.472970e-07,1.423920e-20,3.736530e-20,1.833680e-28,3.520710e-14,2.342100e-28,5.180530e-05,6.420380e-01,1.862690e-06,1.094000e-01,1.000000e+00
2.0,0.001,OK,1.300000e+03,0.000000e+00,2.757350e-01,2.427960e-18,2.805620e-05,3.478690e-17,1.744570e-15,1.845970e-17,3.267250e-06,2.484850e-01,3.196000e-07,5.002240e-12,7.247010e-15,3.709470e-07,6.452260e-20,1.362920e-19,1.255840e-27,7.946130e-14,1.640390e-27,6.564230e-05,6.420240e-01,1.456480e-06,1.093920e-01,1.000000e+00
2.0,0.001,OK,1.325000e+03,0.000000e+00,3.481220e-01,8.516890e-18,4.147470e-05,6.608650e-17,4.016880e-15,5.215860e-17,2.790130e-06,2.484830e-01,2.386390e-07,1.071530e-11,1.940640e-14,5.478600e-07,2.759640e-19,4.732110e-19,7.995460e-27,1.738700e-13,1.066990e-26,8.242570e-05,6.420050e-01,1.149570e-06,1.093830e-01,1.000000e+00
2.0,0.001,OK,1.350000e+03,0.000000e+00,4.208900e-01,2.851590e-17,6.044220e-05,1.226480e-16,8.968880e-15,1.417870e-16,2.396540e-06,2.484810e-01,1.802100e-07,2.230930e-11,5.009550e-14,7.973860e-07,1.117640e-18,1.568230e-18,4.751370e-26,3.694740e-13,6.471840e-26,1.026190e-04,6.419790e-01,9.154050e-07,1.093720e-01,1.000000e+00
2.0,0.001,OK,1.375000e+03,0.000000e+00,4.940850e-01,9.136170e-17,8.690290e-05,2.226420e-16,1.945180e-14,3.715980e-16,2.069830e-06,2.484780e-01,1.375460e-07,4.521530e-11,1.249080e-13,1.144610e-06,4.298930e-18,4.973280e-18,2.645400e-25,7.637090e-13,3.674560e-25,1.267320e-04,6.419460e-01,7.350670e-07,1.093580e-01,1.000000e+00
2.0,0.001,OK,1.400000e+03,0.000000e+00,5.677600e-01,2.807600e-16,1.233600e-04,3.957900e-16,4.104200e-14,9.407810e-16,1.796990e-06,2.484740e-01,1.060470e-07,8.933620e-11,3.013910e-13,1.621640e-06,1.574800e-17,1.512780e-17,1.384790e-24,1.537790e-12,1.959890e-24,1.553180e-04,6.419020e-01,5.949500e-07,1.093420e-01,1.000000e+00
2.0,0.001,OK,1.425000e+03,0.000000e+00,6.419840e-01,8.293820e-16,1.730020e-04,6.897750e-16,8.436620e-14,2.305010e-15,1.567850e-06,2.484680e-01,8.254520e-08,1.723030e-10,7.049630e-13,2.269160e-06,5.508260e-17,4.423480e-17,6.837570e-24,3.020600e-12,9.852190e-24,1.889770e-04,6.418440e-01,4.851700e-07,1.093220e-01,1.000000e+00
2.0,0.001,OK,1.450000e+03,0.000000e+00,7.168460e-01,2.359970e-15,2.398470e-04,1.179720e-15,1.691860e-13,5.474730e-15,1.374350e-06,2.484590e-01,6.483560e-08,3.248060e-10,1.601030e-12,3.138080e-06,1.844040e-16,1.245930e-16,3.194210e-23,5.795210e-12,4.682110e-23,2.283530e-04,6.417680e-01,3.984690e-07,1.092990e-01,1.000000e+00
2.0,0.001,OK,1.475000e+03,0.000000e+00,7.924500e-01,6.480650e-15,3.289050e-04,1.981930e-15,3.314040e-13,1.262540e-14,1.210110e-06,2.484480e-01,5.136390e-08,5.991360e-10,3.535710e-12,4.291510e-06,5.921920e-16,3.386790e-16,1.415770e-22,1.087280e-11,2.109600e-22,2.741370e-04,6.416720e-01,3.294750e-07,1.092710e-01,1.000000e+00
2.0,0.001,OK,1.500000e+03,0.000000e+00,8.689280e-01,1.720530e-14,4.463690e-04,3.273570e-15,6.348290e-13,2.831110e-14,1.069990e-06,2.484340e-01,4.102370e-08,1.082600e-09,7.603400e-12,5.806890e-06,1.828090e-15,8.900640e-16,5.969470e-22,1.997060e-11,9.035740e-22,3.270610e-04,6.415470e-01,2.741750e-07,1.092380e-01,1.000000e+00
2.0,0.001,OK,1.525000e+03,0.000000e+00,9.464410e-01,4.423440e-14,5.998230e-04,5.320310e-15,1.190510e-12,6.181560e-14,9.498800e-07,2.484150e-01,3.301900e-08,1.918180e-09,1.594260e-11,7.778340e-06,5.435250e-15,2.265230e-15,2.400250e-21,3.594770e-11,3.688220e-21,3.878980e-04,6.413890e-01,2.295450e-07,1.092000e-01,1.000000e+00
2.0,0.001,OK,1.550000e+03,0.000000e+00,1.025180e+00,1.103020e-13,7.984710e-04,8.514710e-15,2.187930e-12,1.315910e-13,8.464480e-07,2.483900e-01,2.677180e-08,3.335820e-09,3.263320e-11,1.031920e-05,1.559270e-14,5.591580e-15,9.224830e-21,6.347400e-11,1.438040e-20,4.574630e-04,6.411890e-01,1.932890e-07,1.091540e-01,1.000000e+00
2.0,0.001,OK,1.575000e+03,0.000000e+00,1.105380e+00,2.671580e-13,1.053400e-03,1.342870e-14,3.944270e-12,2.734400e-13,7.569780e-07,2.483580e-01,2.185820e-08,5.698900e-09,6.528350e-11,1.356500e-05,4.323580e-14,1.340650e-14,3.396060e-20,1.100420e-10,5.367510e-20,5.366040e-04,6.409370e-01,1.636510e-07,1.091000e-01,1.000000e+00
2.0,0.001,OK,1.600000e+03,0.000000e+00,1.187310e+00,6.293650e-13,1.377840e-03,2.088430e-14,6.981090e-12,5.552580e-13,6.792510e-07,2.483180e-01,1.796500e-08,9.572280e-09,1.277770e-10,1.767590e-05,1.160600e-13,3.126400e-14,1.200010e-19,1.874650e-10,1.921830e-19,6.262010e-04,6.406220e-01,1.392760e-07,1.090380e-01,1.000000e+00
2.0,0.001,OK,1.625000e+03,0.000000e+00,1.271310e+00,1.443930e-12,1.787490e-03,3.204820e-14,1.214130e-11,1.103020e-12,6.114400e-07,2.482670e-01,1.485830e-08,1.582020e-08,2.449310e-10,2.284010e-05,3.020560e-13,7.100270e-14,4.077660e-19,3.140700e-10,6.613440e-19,7.271610e-04,6.402300e-01,1.191150e-07,1.089650e-01,1.000000e+00
2.0,0.001,OK,1.650000e+03,0.000000e+00,1.357750e+00,3.230110e-12,2.300810e-03,4.855610e-14,2.076520e-11,2.145610e-12,5.520380e-07,2.482030e-01,1.236260e-08,2.574540e-08,4.602360e-10,2.927670e-05,7.632620e-13,1.572250e-13,1.334840e-18,5.178340e-10,2.191270e-18,8.404100e-04,6.397450e-01,1.023460e-07,1.088800e-01,1.000000e+00
2.0,0.001,OK,1.675000e+03,0.000000e+00,1.447090e+00,7.053600e-12,2.939370e-03,7.267420e-14,3.495070e-11,4.090760e-12,4.997920e-07,2.481240e-01,1.034470e-08,4.128320e-08,8.484840e-10,3.723910e-05,1.875060e-12,3.398380e-13,4.216600e-18,8.408330e-10,7.002590e-18,9.668900e-04,6.391500e-01,8.832410e-08,1.087820e-01,1.000000e+00
2.0,0.001,OK,1.700000e+03,0.000000e+00,1.539850e+00,1.505180e-11,3.728170e-03,1.075070e-13,5.793260e-11,7.650990e-12,4.536580e-07,2.480260e-01,8.702980e-09,6.526990e-08,1.536000e-09,4.701740e-05,4.483890e-12,7.177610e-13,1.287360e-17,1.345420e-09,2.161760e-17,1.107540e-03,6.384220e-01,7.653960e-08,1.086680e-01,1.000000e+00
2.0,0.001,OK,1.725000e+03,0.000000e+00,1.636610e+00,3.141830e-11,4.696030e-03,1.572640e-13,9.462860e-11,1.404900e-11,4.127610e-07,2.479060e-01,7.359410e-09,1.018080e-07,2.732460e-09,5.894120e-05,1.044970e-11,1.482760e-12,3.804370e-17,2.122730e-09,6.456480e-17,1.263310e-03,6.375380e-01,6.658630e-08,1.085380e-01,1.000000e+00
2.0,0.001,OK,1.750000e+03,0.000000e+00,1.738090e+00,6.421060e-11,5.875910e-03,2.275890e-13,1.524120e-10,2.534640e-11,3.763650e-07,2.477590e-01,6.253580e-09,1.567550e-07,4.780230e-09,7.338220e-05,2.375970e-11,2.998820e-12,1.089740e-16,3.304130e-09,1.868270e-16,1.435120e-03,6.364690e-01,5.813930e-08,1.083870e-01,1.000000e+00
2.0,0.001,OK,1.775000e+03,0.000000e+00,1.845050e+00,1.286020e-10,7.305270e-03,3.259810e-13,2.421940e-10,4.496190e-11,3.438480e-07,2.475820e-01,5.338430e-09,2.383800e-07,8.229410e-09,9.075570e-05,5.276230e-11,5.942810e-12,3.029620e-16,5.076520e-09,5.244720e-16,1.623840e-03,6.351830e-01,5.093750e-08,1.082150e-01,1.000000e+00
2.0,0.001,OK,1.800000e+03,0.000000e+00,1.958380e+00,2.526220e-10,9.026360e-03,4.622990e-13,3.799200e-10,7.847270e-11,3.146850e-07,2.473680e-01,4.577100e-09,3.582140e-07,1.395050e-08,1.115210e-04,1.145460e-10,1.154910e-11,8.185130e-16,7.702390e-09,1.430180e-15,1.830340e-03,6.336460e-01,4.476960e-08,1.080170e-01,1.000000e+00
2.0,0.001,OK,1.825000e+03,0.000000e+00,2.079100e+00,4.871060e-10,1.108650e-02,6.493940e-13,5.886070e-10,1.348380e-10,2.884270e-07,2.471120e-01,3.940520e-09,5.321630e-07,2.330060e-08,1.361830e-04,2.433400e-10,2.202680e-11,2.151520e-15,1.154580e-08,3.792840e-15,2.055370e-03,6.318180e-01,3.946410e-08,1.077920e-01,1.000000e+00
2.0,0.001,OK,1.850000e+03,0.000000e+00,2.208320e+00,9.226390e-10,1.353850e-02,9.038550e-13,9.010980e-10,2.282330e-10,2.646910e-07,2.468070e-01,3.405640e-09,7.819330e-07,3.836570e-08,1.652870e-04,5.063010e-10,4.125870e-11,5.508460e-15,1.710550e-08,9.793440e-15,2.299640e-03,6.296530e-01,3.488090e-08,1.075350e-01,1.000000e+00
2.0,0.001,OK,1.875000e+03,0.000000e+00,2.347300e+00,1.717930e-09,1.644030e-02,1.246920e-12,1.363740e-09,3.807680e-10,2.431520e-07,2.464460e-01,2.954110e-09,1.136840e-06,6.230820e-08,1.994190e-04,1.032600e-09,7.595010e-11,1.375120e-14,2.505630e-08,2.464710e-14,2.563710e-03,6.271040e-01,3.090520e-08,1.072440e-01,1.000000e+00
2.0,0.001,OK,1.900000e+03,0.000000e+00,2.497430e+00,3.146590e-09,1.985590e-02,1.705520e-12,2.041190e-09,6.264390e-10,2.235280e-07,2.460220e-01,2.571200e-09,1.636090e-06,9.985790e-08,2.391990e-04,2.065950e-09,1.374880e-10,3.350510e-14,3.630050e-08,6.052010e-14,2.848030e-03,6.241180e-01,2.744240e-08,1.069150e-01,1.000000e+00
2.0,0.001,OK,1.925000e+03,0.000000e+00,2.660240e+00,5.672970e-09,2.385440e-02,2.313560e-12,3.022800e-09,1.016820e-09,2.055780e-07,2.455250e-01,2.245050e-09,2.331580e-06,1.579980e-07,2.852720e-04,4.057940e-09,2.448960e-10,7.975380e-14,5.203000e-08,1.451280e-13,3.152870e-03,6.206360e-01,2.441450e-08,1.065430e-01,1.000000e+00
2.0,0.001,OK,1.950000e+03,0.000000e+00,2.837420e+00,1.007360e-08,2.851030e-02,3.113310e-12,4.430670e-09,1.629090e-09,1.890950e-07,2.449460e-01,1.966080e-09,3.291440e-06,2.469080e-07,3.382960e-04,7.830610e-09,4.294540e-10,1.856320e-13,7.379980e-08,3.401870e-13,3.478290e-03,6.165970e-01,2.175660e-08,1.061250e-01,1.000000e+00
