Tw_K,P_bar,M[kg/kmol],Cp[kJ/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[millipoise]
3825,0.00101325,6.044960e+00,4.960760e+00,5.612120e+07,1.430700e+00,1.925950e-05,7.588240e-01
3850,0.00101325,6.043370e+00,4.812790e+00,5.624330e+07,1.443420e+00,1.912940e-05,7.626420e-01
3875,0.00101325,6.041990e+00,4.692230e+00,5.636210e+07,1.454470e+00,1.900160e-05,7.664570e-01
3900,0.00101325,6.040780e+00,4.594790e+00,5.647810e+07,1.463850e+00,1.887600e-05,7.702690e-01
3925,0.00101325,6.039710e+00,4.517200e+00,5.659200e+07,1.471580e+00,1.875250e-05,7.740780e-01
3950,0.00101325,6.038760e+00,4.456970e+00,5.670410e+07,1.477680e+00,1.863080e-05,7.778860e-01
3975,0.00101325,6.037900e+00,4.412270e+00,5.681490e+07,1.482160e+00,1.851100e-05,7.816910e-01
4000,0.00101325,6.037120e+00,4.381860e+00,5.692480e+07,1.485030e+00,1.839300e-05,7.854960e-01
200,0.00180184,2.575290e+01,1.321060e+00,-5.940200e+06,1.323440e+00,2.790470e-03,8.941740e-02
225,0.00180184,2.575290e+01,1.352440e+00,-5.906790e+06,1.313580e+00,2.480420e-03,9.938210e-02
250,0.00180184,2.575290e+01,1.388780e+00,-5.872540e+06,1.302890e+00,2.232380e-03,1.092570e-01
275,0.00180184,2.575290e+01,1.431030e+00,-5.837300e+06,1.291350e+00,2.029430e-03,1.190290e-01
300,0.00180184,2.575280e+01,1.479320e+00,-5.800940e+06,1.279220e+00,1.860310e-03,1.286830e-01
325,0.00180184,2.575240e+01,1.536280e+00,-5.763270e+06,1.266380e+00,1.717180e-03,1.385840e-01
350,0.00180184,2.575020e+01,1.615140e+00,-5.723950e+06,1.251310e+00,1.594390e-03,1.484170e-01
375,0.00180184,2.574100e+01,1.759020e+00,-5.681990e+06,1.230220e+00,1.487560e-03,1.581870e-01
400,0.00180184,2.570920e+01,2.078630e+00,-5.634570e+06,1.198910e+00,1.392870e-03,1.679260e-01
425,0.00180184,2.561600e+01,2.807040e+00,-5.574700e+06,1.161110e+00,1.306180e-03,1.777320e-01
450,0.00180184,2.538160e+01,4.333740e+00,-5.487580e+06,1.131380e+00,1.222330e-03,1.878060e-01
475,0.00180184,2.487940e+01,7.062360e+00,-5.347840e+06,1.120550e+00,1.135080e-03,1.984590e-01
500,0.00180184,2.399630e+01,1.071580e+01,-5.126170e+06,1.126880e+00,1.040060e-03,2.099190e-01
525,0.00180184,2.281110e+01,1.309390e+01,-4.822210e+06,1.137770e+00,9.416040e-04,2.215030e-01
550,0.00180184,2.170620e+01,1.119640e+01,-4.508420e+06,1.139020e+00,8.552720e-04,2.324530e-01
575,0.00180184,2.106890e+01,6.788390e+00,-4.289090e+06,1.137810e+00,7.940660e-04,2.417800e-01
600,0.00180184,2.059950e+01,9.154370e+00,-4.098210e+06,1.137030e+00,7.440260e-04,2.499780e-01
625,0.00180184,1.994830e+01,1.074040e+01,-3.840230e+06,1.143470e+00,6.916840e-04,2.579680e-01
650,0.00180184,1.941750e+01,7.164320e+00,-3.608200e+06,1.147420e+00,6.473840e-04,2.659720e-01
675,0.00180184,1.920440e+01,4.006770e+00,-3.477130e+06,1.170830e+00,6.165640e-04,2.735550e-01
700,0.00180184,1.906670e+01,5.364260e+00,-3.366340e+06,1.151640e+00,5.902830e-04,2.806490e-01
725,0.00180184,1.882160e+01,7.188590e+00,-3.208070e+06,1.145120e+00,5.626020e-04,2.873010e-01
750,0.00180184,1.849360e+01,8.621380e+00,-3.010030e+06,1.146640e+00,5.343710e-04,2.936220e-01
