Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,"C6H5OH,phenol",HNC,C(gr)
1.0,0.001,8.500000e+02,0.000000e+00,-1.007920e+00,1.209830e-33,4.541290e-10,6.719890e-25,1.817830e-25,1.504340e-04,3.511440e-21,2.800680e-01,1.689320e-03,9.586520e-39,5.894170e-27,4.691120e-12,1.026600e-37,3.140490e-50,1.616900e-23,2.177000e-50,1.339280e-07,4.905790e-01,9.700570e-04,2.265440e-01,4.097640e-20,2.330990e-38,7.613380e-35,1.668580e-31,7.690630e-22,1.161500e-28,4.146810e-11,1.000000e+00
1.0,0.001,8.750000e+02,0.000000e+00,-9.423100e-01,2.218300e-32,1.111550e-09,2.938030e-24,1.244020e-24,1.055030e-04,2.066340e-20,2.817800e-01,8.536480e-04,2.800210e-37,5.820800e-26,1.168250e-11,3.053970e-36,2.315340e-48,1.001160e-22,1.693280e-48,2.278840e-07,4.904430e-01,5.637640e-04,2.262530e-01,5.830330e-20,3.049290e-37,1.228600e-33,7.260080e-31,9.975480e-22,1.169480e-28,9.086940e-11,1.000000e+00
1.0,0.001,9.000000e+02,0.000000e+00,-8.838070e-01,3.460530e-31,2.590380e-09,1.181270e-23,7.656290e-24,7.540280e-05,1.101830e-19,2.826340e-01,4.459530e-04,6.778080e-36,5.059790e-25,2.764540e-11,7.515720e-35,1.343620e-46,5.600450e-22,1.033490e-46,3.764990e-07,4.904050e-01,3.367460e-04,2.261030e-01,8.112120e-20,3.461170e-36,1.699270e-32,2.906910e-30,1.274300e-21,1.174010e-28,1.906600e-10,1.000000e+00
1.0,0.001,9.250000e+02,0.000000e+00,-8.287000e-01,4.653410e-30,5.770070e-09,4.403190e-23,4.273610e-23,5.482820e-05,5.365810e-19,2.830740e-01,2.408500e-04,1.380430e-34,3.911510e-24,6.241540e-11,1.553790e-33,6.257480e-45,2.853420e-21,5.047880e-45,6.053220e-07,4.904010e-01,2.065400e-04,2.260220e-01,1.107090e-19,3.447380e-35,2.039340e-31,1.079460e-29,1.604840e-21,1.176690e-28,3.843160e-10,1.000000e+00
1.0,0.001,9.500000e+02,0.000000e+00,-7.752180e-01,5.457430e-29,1.232860e-08,1.531710e-22,2.180070e-22,4.050670e-05,2.403520e-18,2.833070e-01,1.342930e-04,2.397860e-33,2.714130e-23,1.349410e-10,2.735910e-32,2.379660e-43,1.333880e-20,2.008020e-43,9.490330e-07,4.904090e-01,1.298850e-04,2.259770e-01,1.485130e-19,3.043780e-34,2.147460e-30,3.741610e-29,1.994810e-21,1.178350e-28,7.465230e-10,1.000000e+00
1.0,0.001,9.750000e+02,0.000000e+00,-7.224920e-01,5.641030e-28,2.534790e-08,5.000380e-22,1.023370e-21,3.037030e-05,9.966190e-18,2.834360e-01,7.716280e-05,3.596180e-32,1.704520e-22,2.803040e-10,4.153950e-31,7.505620e-42,5.758980e-20,6.608860e-42,1.453710e-06,4.904200e-01,8.361150e-05,2.259510e-01,1.961510e-19,2.404290e-33,2.004070e-29,1.217260e-28,2.449870e-21,1.179450e-28,1.401340e-09,1.000000e+00
1.0,0.001,1.000000e+03,0.000000e+00,-6.700810e-01,5.187860e-27,5.029340e-08,1.539490e-21,4.448130e-21,2.308450e-05,3.847590e-17,2.835080e-01,4.559910e-05,4.708090e-31,9.761320e-22,5.611160e-10,5.499160e-30,1.991130e-40,2.310140e-19,1.825370e-40,2.179330e-06,4.904300e-01,5.500950e-05,2.259360e-01,2.554100e-19,1.713230e-32,1.672520e-28,3.734950e-28,2.975660e-21,1.180270e-28,2.548580e-09,1.000000e+00
1.0,0.001,1.025000e+03,0.000000e+00,-6.177620e-01,4.281400e-26,9.654830e-08,4.489340e-21,1.800280e-20,1.777190e-05,1.390250e-16,2.835510e-01,2.766120e-05,5.434350e-30,5.131970e-21,1.085410e-09,6.411530e-29,4.499360e-39,8.656270e-19,4.285510e-39,3.202630e-06,4.904380e-01,3.693350e-05,2.259260e-01,3.282500e-19,1.109580e-31,1.258460e-27,1.085530e-27,3.577720e-21,1.180990e-28,4.501000e-09,1.000000e+00
1.0,0.001,1.050000e+03,0.000000e+00,-5.654190e-01,3.195260e-25,1.797470e-07,1.244850e-20,6.819040e-20,1.384600e-05,4.723810e-16,2.835760e-01,1.719390e-05,5.580260e-29,2.492210e-20,2.033880e-09,6.643520e-28,8.760120e-38,3.044660e-18,8.652020e-38,4.620050e-06,4.904440e-01,2.527040e-05,2.259190e-01,4.167980e-19,6.576130e-31,8.600520e-27,3.000170e-27,4.261480e-21,1.181720e-28,7.735410e-09,1.000000e+00
1.0,0.001,1.075000e+03,0.000000e+00,-5.129830e-01,2.171660e-24,3.252260e-07,3.293870e-20,2.428460e-19,1.090820e-05,1.515840e-15,2.835910e-01,1.093300e-05,5.139310e-28,1.124130e-19,3.700120e-09,6.168510e-27,1.484870e-36,1.009680e-17,1.517970e-36,6.550970e-06,4.904480e-01,1.759770e-05,2.259150e-01,5.233400e-19,3.588650e-30,5.374470e-26,7.912590e-27,5.032240e-21,1.182550e-28,1.296130e-08,1.000000e+00
1.0,0.001,1.100000e+03,0.000000e+00,-4.604130e-01,1.352730e-23,5.730010e-07,8.343350e-20,8.165520e-19,8.683970e-06,4.611760e-15,2.836010e-01,7.100830e-06,4.276790e-27,4.733420e-19,6.548540e-09,5.170820e-26,2.212010e-35,3.169610e-17,2.336650e-35,9.141060e-06,4.904500e-01,1.245780e-05,2.259110e-01,6.503180e-19,1.813330e-29,3.089690e-25,1.997760e-26,5.895110e-21,1.183550e-28,2.121070e-08,1.000000e+00
