Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,C(gr)
1.0,0.001,8.000000e+02,3.326080e-01,-1.981330e+00,2.086110e-36,5.203100e-11,4.095890e-26,2.747800e-27,1.402370e-04,7.363440e-23,4.233100e-01,1.768890e-02,5.959930e-42,3.182500e-29,4.176630e-13,6.117140e-41,2.576210e-54,1.964110e-25,1.587960e-54,3.435240e-08,3.222480e-01,3.194850e-03,2.334180e-01,1.541440e-20,8.653940e-41,1.759470e-37,1.055620e-32,1.225120e-22,1.379250e-32,9.173240e-24,3.385600e-13,1.894040e-11,1.221700e-12,1.057920e-30,1.321520e-22,1.332100e-33,4.949140e-29,2.631440e-28,2.252850e-16,1.000000e+00
1.0,0.001,8.250000e+02,3.471410e-01,-1.838740e+00,5.532000e-35,1.420950e-10,2.214860e-25,2.386880e-26,9.330110e-05,5.406230e-22,4.380670e-01,8.642950e-03,2.673740e-40,4.195720e-28,1.163050e-12,2.806090e-39,3.280870e-52,1.525940e-24,2.148530e-52,6.212720e-08,3.204090e-01,1.772690e-03,2.310140e-01,2.340470e-20,1.553430e-39,4.022560e-36,5.628520e-32,1.621920e-22,2.089660e-31,5.326440e-23,6.355500e-13,2.251780e-11,7.540550e-13,7.828200e-30,5.831360e-22,2.643540e-33,5.050280e-29,7.746390e-28,4.558850e-16,1.000000e+00
1.0,0.001,8.500000e+02,3.543800e-01,-1.748270e+00,1.209830e-33,3.665380e-10,1.068310e-24,1.830970e-25,6.384190e-05,3.536830e-21,4.452430e-01,4.269540e-03,9.586520e-39,4.757320e-27,3.056020e-12,1.026600e-37,3.140490e-50,1.053330e-23,2.177000e-50,1.088780e-07,3.195870e-01,1.004640e-03,2.298320e-01,3.425220e-20,2.364820e-38,7.668430e-35,2.691160e-31,2.126190e-22,2.700830e-30,2.794510e-22,1.153280e-12,2.660850e-11,4.818750e-13,5.162640e-29,2.365780e-21,4.990980e-33,5.105000e-29,2.074840e-27,8.725290e-16,1.000000e+00
1.0,0.001,8.750000e+02,3.579570e-01,-1.683500e+00,2.218300e-32,8.967840e-10,4.678670e-24,1.252230e-24,4.469960e-05,2.079980e-20,4.487220e-01,2.164770e-03,2.800210e-37,4.696150e-26,7.604270e-12,3.053970e-36,2.315340e-48,6.516640e-23,1.693280e-48,1.850680e-07,3.192340e-01,5.843640e-04,2.292500e-01,4.875730e-20,3.089690e-37,1.236710e-33,1.171450e-30,2.751010e-22,3.016620e-29,1.334440e-21,2.024710e-12,3.118320e-11,3.165950e-13,3.058320e-28,8.869740e-21,9.044590e-33,5.135920e-29,5.179940e-27,1.598650e-15,1.000000e+00
1.0,0.001,9.000000e+02,3.597540e-01,-1.631020e+00,3.460530e-31,2.089490e-09,1.882620e-23,7.704480e-24,3.192230e-05,1.108760e-19,4.504420e-01,1.132710e-03,6.778080e-36,4.081400e-25,1.798770e-11,7.515720e-35,1.343620e-46,3.643980e-22,1.033490e-46,3.056090e-07,3.190860e-01,3.491970e-04,2.289580e-01,6.785450e-20,3.504880e-36,1.709960e-32,4.691320e-30,3.510190e-22,2.946290e-28,5.841650e-21,3.445040e-12,3.622140e-11,2.129470e-13,1.640420e-27,3.090250e-20,1.582050e-32,5.154030e-29,1.221710e-26,2.823950e-15,1.000000e+00
1.0,0.001,9.250000e+02,3.606820e-01,-1.584420e+00,4.653410e-30,4.653920e-09,7.020220e-23,4.299850e-23,2.320350e-05,5.398750e-19,4.513180e-01,6.122260e-04,1.380430e-34,3.154870e-24,4.060380e-11,1.553790e-33,6.257480e-45,1.856270e-21,5.047880e-45,4.912270e-07,3.190260e-01,2.142210e-04,2.288060e-01,9.261440e-20,3.489830e-35,2.051860e-31,1.742230e-29,4.418320e-22,2.543420e-27,2.360190e-20,5.693140e-12,4.170950e-11,1.462400e-13,8.028020e-27,1.006040e-19,2.681580e-32,5.165010e-29,2.744340e-26,4.831350e-15,1.000000e+00
1.0,0.001,9.500000e+02,3.611770e-01,-1.540670e+00,5.457430e-29,9.943360e-09,2.442540e-22,2.193280e-22,1.713970e-05,2.418080e-18,4.517780e-01,3.414970e-04,2.397860e-33,2.189020e-23,8.777730e-11,2.735910e-32,2.379660e-43,8.676700e-21,2.008020e-43,7.700590e-07,3.190040e-01,1.347290e-04,2.287240e-01,1.242480e-19,3.080770e-34,2.160470e-30,6.039100e-29,5.490530e-22,1.959540e-26,8.855960e-20,9.157330e-12,4.763710e-11,1.023420e-13,3.610170e-26,3.076300e-19,4.417930e-32,5.171930e-29,5.903490e-26,8.031760e-15,1.000000e+00
1.0,0.001,9.750000e+02,3.614490e-01,-1.498300e+00,5.641030e-28,2.044340e-08,7.974670e-22,1.029530e-21,1.284950e-05,1.002620e-17,4.520270e-01,1.962580e-04,3.596180e-32,1.374710e-22,1.823260e-10,4.153950e-31,7.505620e-42,3.745970e-20,6.608860e-42,1.179480e-06,3.189980e-01,8.673500e-05,2.286790e-01,1.641070e-19,2.433310e-33,2.016130e-29,1.964730e-28,6.742190e-22,1.359170e-25,3.103530e-19,1.436570e-11,5.399490e-11,7.287490e-14,1.501490e-25,8.877620e-19,7.092390e-32,5.176610e-29,1.221120e-25,1.300760e-14,1.000000e+00
1.0,0.001,1.000000e+03,3.616040e-01,-1.456590e+00,5.187860e-27,4.056170e-08,2.455320e-21,4.474800e-21,9.766530e-06,3.870650e-17,4.521660e-01,1.159900e-04,4.708090e-31,7.872520e-22,3.649740e-10,5.499160e-30,1.991130e-40,1.502620e-19,1.825370e-40,1.768170e-06,3.189970e-01,5.706620e-05,2.286530e-01,2.136900e-19,1.733830e-32,1.682540e-28,6.028480e-28,8.188660e-22,8.554500e-25,1.021010e-18,2.202130e-11,6.077320e-11,5.273390e-14,5.809530e-25,2.428300e-18,1.111830e-31,5.180140e-29,2.436840e-25,2.056630e-14,1.000000e+00
1.0,0.001,1.025000e+03,3.616950e-01,-1.415150e+00,4.281400e-26,7.786590e-08,7.160210e-21,1.811050e-20,7.518730e-06,1.398560e-16,4.522460e-01,7.036540e-05,5.434350e-30,4.138920e-21,7.059920e-10,6.411530e-29,4.499360e-39,5.630360e-19,4.285510e-39,2.598360e-06,3.189990e-01,3.831510e-05,2.286370e-01,2.746350e-19,1.122890e-31,1.265990e-27,1.752130e-27,9.845120e-22,4.920430e-24,3.167880e-18,3.304130e-11,6.796140e-11,3.873500e-14,2.102300e-24,6.320480e-18,1.705160e-31,5.183260e-29,4.704680e-25,3.180440e-14,1.000000e+00
