Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
3225,0.00101325,5.858400e-03,2.193300e+04,4.792680e+07,1.177630e+00,2.213760e-05,6.519880e-05
3250,0.00101325,5.834250e-03,2.126650e+04,4.846720e+07,1.179320e+00,2.187680e-05,6.550650e-05
3275,0.00101325,5.811460e-03,2.038060e+04,4.898830e+07,1.181830e+00,2.162500e-05,6.582260e-05
3300,0.00101325,5.790250e-03,1.928230e+04,4.948450e+07,1.185350e+00,2.138280e-05,6.614710e-05
3325,0.00101325,5.770810e-03,1.800360e+04,4.995090e+07,1.190140e+00,2.115080e-05,6.647940e-05
3350,0.00101325,5.753280e-03,1.659780e+04,5.038360e+07,1.196470e+00,2.092920e-05,6.681900e-05
3375,0.00101325,5.737740e-03,1.513200e+04,5.078030e+07,1.204640e+00,2.071810e-05,6.716520e-05
3400,0.00101325,5.724170e-03,1.367630e+04,5.114030e+07,1.214910e+00,2.051710e-05,6.751690e-05
3425,0.00101325,5.712490e-03,1.229220e+04,5.146470e+07,1.227450e+00,2.032580e-05,6.787310e-05
3450,0.00101325,5.702560e-03,1.102550e+04,5.175590e+07,1.242300e+00,2.014340e-05,6.823290e-05
3475,0.00101325,5.694180e-03,9.902860e+03,5.201720e+07,1.259320e+00,1.996910e-05,6.859540e-05
3500,0.00101325,5.687170e-03,8.933680e+03,5.225230e+07,1.278190e+00,1.980200e-05,6.895970e-05
3525,0.00101325,5.681310e-03,8.113760e+03,5.246510e+07,1.298430e+00,1.964130e-05,6.932530e-05
3550,0.00101325,5.676430e-03,7.430470e+03,5.265910e+07,1.319470e+00,1.948630e-05,6.969150e-05
3575,0.00101325,5.672360e-03,6.866940e+03,5.283760e+07,1.340700e+00,1.933610e-05,7.005800e-05
3600,0.00101325,5.668950e-03,6.405250e+03,5.300330e+07,1.361530e+00,1.919030e-05,7.042460e-05
3625,0.00101325,5.666100e-03,6.028390e+03,5.315860e+07,1.381470e+00,1.904840e-05,7.079110e-05
3650,0.00101325,5.663690e-03,5.721250e+03,5.330530e+07,1.400140e+00,1.890990e-05,7.115740e-05
3675,0.00101325,5.661660e-03,5.471000e+03,5.344510e+07,1.417290e+00,1.877450e-05,7.152340e-05
3700,0.00101325,5.659930e-03,5.267020e+03,5.357930e+07,1.432770e+00,1.864190e-05,7.188910e-05
3725,0.00101325,5.658440e-03,5.100770e+03,5.370880e+07,1.446500e+00,1.851200e-05,7.225450e-05
3750,0.00101325,5.657170e-03,4.965420e+03,5.383460e+07,1.458500e+00,1.838440e-05,7.261960e-05
3775,0.00101325,5.656060e-03,4.855620e+03,5.395730e+07,1.468790e+00,1.825910e-05,7.298440e-05
3800,0.00101325,5.655090e-03,4.767210e+03,5.407750e+07,1.477440e+00,1.813590e-05,7.334890e-05
3825,0.00101325,5.654240e-03,4.697020e+03,5.419580e+07,1.484490e+00,1.801460e-05,7.371330e-05
3850,0.00101325,5.653490e-03,4.642670e+03,5.431250e+07,1.490010e+00,1.789530e-05,7.407740e-05
3875,0.00101325,5.652810e-03,4.602450e+03,5.442810e+07,1.494030e+00,1.777770e-05,7.444140e-05
3900,0.00101325,5.652190e-03,4.575190e+03,5.454270e+07,1.496590e+00,1.766180e-05,7.480530e-05
3925,0.00101325,5.651620e-03,4.560200e+03,5.465690e+07,1.497670e+00,1.754750e-05,7.516920e-05
3950,0.00101325,5.651090e-03,4.557220e+03,5.477090e+07,1.497280e+00,1.743480e-05,7.553300e-05
3975,0.00101325,5.650570e-03,4.566350e+03,5.488490e+07,1.495380e+00,1.732360e-05,7.589690e-05
4000,0.00101325,5.650070e-03,4.588060e+03,5.499930e+07,1.491950e+00,1.721380e-05,7.626090e-05
200,0.00180184,2.199600e-02,1.511870e+03,-7.246370e+06,1.333370e+00,2.383390e-03,9.196210e-06
225,0.00180184,2.199600e-02,1.533630e+03,-7.208310e+06,1.327100e+00,2.118570e-03,1.024210e-05
250,0.00180184,2.199600e-02,1.560250e+03,-7.169650e+06,1.319770e+00,1.906710e-03,1.127750e-05
275,0.00180184,2.199570e-02,1.595120e+03,-7.130230e+06,1.310770e+00,1.733350e-03,1.230000e-05
300,0.00180184,2.199470e-02,1.642560e+03,-7.089790e+06,1.299690e+00,1.588840e-03,1.330700e-05
325,0.00180184,2.199130e-02,1.711960e+03,-7.047920e+06,1.285780e+00,1.466390e-03,1.432480e-05
350,0.00180184,2.198200e-02,1.821710e+03,-7.003860e+06,1.268020e+00,1.361070e-03,1.532650e-05
375,0.00180184,2.195960e-02,2.002050e+03,-6.956250e+06,1.246020e+00,1.269040e-03,1.630640e-05
400,0.00180184,2.191210e-02,2.293810e+03,-6.902830e+06,1.221360e+00,1.187150e-03,1.725560e-05
425,0.00180184,2.182250e-02,2.738060e+03,-6.840280e+06,1.197790e+00,1.112750e-03,1.816000e-05
450,0.00180184,2.167110e-02,3.352710e+03,-6.764490e+06,1.179210e+00,1.043640e-03,1.900150e-05
475,0.00180184,2.144300e-02,4.108940e+03,-6.671460e+06,1.166970e+00,9.783020e-04,1.976260e-05
500,0.00180184,2.113600e-02,4.976150e+03,-6.558180e+06,1.158590e+00,9.160810e-04,2.043890e-05
525,0.00180184,2.075430e-02,6.187860e+03,-6.420000e+06,1.148970e+00,8.567050e-04,2.102230e-05
550,0.00180184,2.026410e-02,8.695230e+03,-6.238160e+06,1.138750e+00,7.984490e-04,2.158740e-05
575,0.00180184,1.954380e-02,1.377480e+04,-5.963330e+06,1.141560e+00,7.365860e-04,2.217950e-05
600,0.00180184,1.846150e-02,2.126040e+04,-5.528730e+06,1.162580e+00,6.668020e-04,2.284520e-05
625,0.00180184,1.705420e-02,2.865110e+04,-4.900270e+06,1.189050e+00,5.913340e-04,2.367310e-05
650,0.00180184,1.559950e-02,3.064200e+04,-4.140750e+06,1.199270e+00,5.200920e-04,2.478800e-05
675,0.00180184,1.450320e-02,2.227190e+04,-3.458530e+06,1.179260e+00,4.656320e-04,2.605320e-05
700,0.00180184,1.397150e-02,1.039280e+04,-3.058020e+06,1.164620e+00,4.325390e-04,2.711270e-05
725,0.00180184,1.380660e-02,4.784480e+03,-2.881580e+06,1.202690e+00,4.126970e-04,2.791130e-05
750,0.00180184,1.376540e-02,3.274520e+03,-2.785240e+06,1.249230e+00,3.977500e-04,2.860110e-05
775,0.00180184,1.375510e-02,2.940210e+03,-2.708650e+06,1.266190e+00,3.846300e-04,2.925690e-05
800,0.00180184,1.375090e-02,2.996710e+03,-2.635290e+06,1.260750e+00,3.724980e-04,2.989830e-05
