P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,Mo,MoO,MoO2,MoO3,Mo2O6,Mo3O9,Mo4O12,Mo5O15,Mo(cr),Mo(L),MoO2(cr),MoO3(cr),MoO3(L)
0.001,1.175000e+03,0.000000e+00,9.733470e-01,4.798800e-17,5.897040e-14,5.049700e-11,1.000000e+00,1.629880e-14,3.746220e-19,2.818150e-16,5.376650e-12,6.323000e-10,1.264480e-11,3.621700e-14,4.651650e-19,6.575860e-25,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.200000e+03,0.000000e+00,1.003390e+00,1.327980e-16,1.870530e-13,1.134270e-10,1.000000e+00,5.567550e-14,1.507570e-18,1.103020e-15,1.750650e-11,1.829500e-09,4.441150e-11,1.657500e-13,2.954330e-18,6.041620e-24,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.225000e+03,0.000000e+00,1.033540e+00,3.526090e-16,5.658100e-13,2.463770e-10,1.000000e+00,1.806900e-13,5.729090e-18,4.079100e-15,5.423800e-11,5.060120e-09,1.478000e-10,7.104170e-13,1.732380e-17,5.043820e-23,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.250000e+03,0.000000e+00,1.063780e+00,9.005610e-16,1.636760e-12,5.185420e-10,1.000000e+00,5.588620e-13,2.063060e-17,1.430160e-14,1.603700e-10,1.341480e-08,4.675700e-10,2.862770e-12,9.423620e-17,3.848020e-22,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.275000e+03,0.000000e+00,1.094120e+00,2.217390e-15,4.539940e-12,1.059440e-09,1.000000e+00,1.651980e-12,7.062040e-17,4.768790e-14,4.537870e-10,3.417310e-08,1.410260e-09,1.088510e-11,4.776140e-16,2.696840e-21,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.300000e+03,0.000000e+00,1.124550e+00,5.274650e-15,1.210360e-11,2.104870e-09,1.000000e+00,4.679160e-12,2.304700e-16,1.516680e-13,1.231950e-09,8.384170e-08,4.066470e-09,3.918270e-11,2.264490e-15,1.744660e-20,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.325000e+03,0.000000e+00,1.155060e+00,1.214550e-14,3.108520e-11,4.072980e-09,1.000000e+00,1.273060e-11,7.190110e-16,4.613220e-13,3.216370e-09,1.985330e-07,1.123830e-08,1.339370e-10,1.008120e-14,1.046510e-19,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.350000e+03,0.000000e+00,1.185660e+00,2.711970e-14,7.706640e-11,7.687390e-09,9.999990e-01,3.334370e-11,2.149720e-15,1.345290e-12,8.093080e-09,4.546280e-07,2.983750e-08,4.359930e-10,4.228650e-14,5.844390e-19,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.375000e+03,0.000000e+00,1.216340e+00,5.882120e-14,1.847920e-10,1.417140e-08,9.999990e-01,8.424990e-11,6.173950e-15,3.769910e-12,1.966580e-08,1.008610e-06,7.626860e-08,1.355120e-09,1.676580e-13,3.050470e-18,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.400000e+03,0.000000e+00,1.247080e+00,1.241180e-13,4.293250e-10,2.554840e-08,9.999980e-01,2.057550e-10,1.706920e-14,1.017360e-11,4.623500e-08,2.171550e-06,1.880720e-07,4.031360e-09,6.301840e-13,1.493370e-17,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.425000e+03,0.000000e+00,1.277870e+00,2.551600e-13,9.680340e-10,4.509620e-08,9.999950e-01,4.865560e-10,4.552020e-14,2.649140e-11,1.053530e-07,4.544390e-06,4.482380e-07,1.150510e-08,2.251790e-12,6.879780e-17,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.450000e+03,0.000000e+00,1.308670e+00,5.117450e-13,2.121630e-09,7.802180e-08,9.999890e-01,1.115950e-09,1.173120e-13,6.668510e-11,2.330460e-07,9.257210e-06,1.034320e-06,3.156500e-08,7.668680e-12,2.991750e-16,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.475000e+03,0.000000e+00,1.339450e+00,1.002540e-12,4.526350e-09,1.324440e-07,9.999790e-01,2.486310e-09,2.926770e-13,1.625520e-10,5.012010e-07,1.838120e-05,2.314580e-06,8.341750e-08,2.495070e-11,1.231580e-15,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.500000e+03,0.000000e+00,1.370070e+00,1.920700e-12,9.412630e-09,2.208030e-07,9.999580e-01,5.388890e-09,7.080160e-13,3.843210e-10,1.049460e-06,3.562140e-05,5.030530e-06,2.127360e-07,7.772920e-11,4.812270e-15,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.525000e+03,0.000000e+00,1.400360e+00,3.602520e-12,1.910300e-08,3.618360e-07,9.999190e-01,1.137790e-08,1.663280e-12,8.826420e-10,2.142270e-06,6.745380e-05,1.063390e-05,5.244450e-07,2.323430e-10,1.789240e-14,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.550000e+03,0.000000e+00,1.429960e+00,6.621860e-12,3.788200e-08,5.833280e-07,9.998470e-01,2.343130e-08,3.799900e-12,1.971860e-09,4.268480e-06,1.249520e-04,2.189210e-05,1.251800e-06,6.676760e-10,6.345100e-14,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.575000e+03,0.000000e+00,1.458260e+00,1.193970e-11,7.348190e-08,9.258500e-07,9.997170e-01,4.712110e-08,8.453550e-12,4.290780e-09,8.311130e-06,2.266620e-04,4.394740e-05,2.897290e-06,1.847930e-09,2.150820e-13,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.600000e+03,0.000000e+00,1.484190e+00,2.113600e-11,1.395700e-07,1.447780e-06,9.994870e-01,9.264110e-08,1.833610e-11,9.105480e-09,1.583080e-05,4.030220e-04,8.612600e-05,6.511620e-06,4.934350e-09,6.983290e-13,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.625000e+03,0.000000e+00,1.505900e+00,3.676410e-11,2.598310e-07,2.231920e-06,9.990860e-01,1.782430e-07,3.882260e-11,1.886590e-08,2.952870e-05,7.030670e-04,1.649540e-04,1.422970e-05,1.273210e-08,2.175910e-12,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.650000e+03,0.000000e+00,1.520360e+00,6.288020e-11,4.745370e-07,3.394100e-06,9.983980e-01,3.359470e-07,8.032430e-11,3.820600e-08,5.398770e-05,1.204350e-03,3.090760e-04,3.027280e-05,3.179400e-08,6.518230e-12,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.675000e+03,0.000000e+00,1.522590e+00,1.058220e-10,8.509430e-07,5.094030e-06,9.972390e-01,6.208340e-07,1.625710e-10,7.570230e-08,9.683720e-05,2.027450e-03,5.670960e-04,6.277180e-05,7.694560e-08,1.880470e-11,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.700000e+03,0.000000e+00,1.504830e+00,1.753280e-10,1.499450e-06,7.548700e-06,9.953150e-01,1.125910e-06,3.221760e-10,1.469020e-07,1.705500e-04,3.356750e-03,1.019840e-03,1.270020e-04,1.807150e-07,5.232900e-11,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.725000e+03,0.000000e+00,1.455440e+00,2.861050e-10,2.598330e-06,1.104810e-05,9.921690e-01,2.005450e-06,6.257430e-10,2.794340e-07,2.951660e-04,5.469780e-03,1.799110e-03,2.509780e-04,4.124060e-07,1.406740e-10,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.750000e+03,0.000000e+00,1.358150e+00,4.599490e-10,4.430970e-06,1.597230e-05,9.870930e-01,3.511020e-06,1.192130e-09,5.214760e-07,5.023560e-04,8.778000e-03,3.115910e-03,4.849140e-04,9.155570e-07,3.658460e-10,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.775000e+03,0.000000e+00,1.192660e+00,7.284780e-10,7.441080e-06,2.280750e-05,9.790180e-01,6.046210e-06,2.229640e-09,9.555280e-07,8.413810e-04,1.388270e-02,5.302020e-03,9.168510e-04,1.979530e-06,9.216680e-10,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.800000e+03,0.000000e+00,9.380620e-01,1.136340e-09,1.231360e-05,3.215400e-05,9.663330e-01,1.024850e-05,4.096920e-09,1.720430e-06,1.387710e-03,2.165030e-02,8.870330e-03,1.697900e-03,4.172690e-06,2.252130e-09,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.825000e+03,7.444090e-02,5.806100e-01,1.744330e-09,2.009110e-05,4.471300e-05,9.466550e-01,1.710980e-05,7.401330e-09,3.045970e-06,2.255280e-03,3.331300e-02,1.460070e-02,3.082210e-03,8.583740e-06,5.344080e-09,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.850000e+03,2.732650e-01,1.244820e-01,2.630640e-09,3.234030e-05,6.122410e-05,9.164920e-01,2.815180e-05,1.315500e-08,5.306470e-06,3.613740e-03,5.060070e-02,2.366010e-02,5.488900e-03,1.724860e-05,1.232840e-08,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.875000e+03,4.707620e-01,-1.853200e-01,3.921510e-09,4.980050e-05,8.048280e-05,8.867890e-01,4.290260e-05,2.301860e-08,8.821690e-06,5.365430e-03,6.910360e-02,3.129740e-02,7.238700e-03,2.326930e-05,1.730170e-08,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
