Tw_K,P_bar,Bc
3625,0.00101325,2.000000e+02
3650,0.00101325,2.000000e+02
3675,0.00101325,2.000000e+02
3700,0.00101325,2.000000e+02
3725,0.00101325,2.000000e+02
3750,0.00101325,2.000000e+02
3775,0.00101325,2.000000e+02
3800,0.00101325,2.000000e+02
3825,0.00101325,2.000000e+02
3850,0.00101325,2.000000e+02
3875,0.00101325,2.000000e+02
3900,0.00101325,2.000000e+02
3925,0.00101325,2.000000e+02
3950,0.00101325,2.000000e+02
3975,0.00101325,2.000000e+02
4000,0.00101325,2.000000e+02
4025,0.00101325,2.000000e+02
4050,0.00101325,2.000000e+02
4075,0.00101325,2.000000e+02
4100,0.00101325,2.000000e+02
4125,0.00101325,2.000000e+02
4150,0.00101325,2.000000e+02
4175,0.00101325,2.000000e+02
4200,0.00101325,2.000000e+02
4225,0.00101325,2.000000e+02
4250,0.00101325,2.000000e+02
4275,0.00101325,2.000000e+02
4300,0.00101325,2.000000e+02
4325,0.00101325,2.000000e+02
4350,0.00101325,2.000000e+02
4375,0.00101325,2.000000e+02
4400,0.00101325,2.000000e+02
4425,0.00101325,2.000000e+02
4450,0.00101325,2.000000e+02
4475,0.00101325,2.000000e+02
4500,0.00101325,2.000000e+02
4525,0.00101325,2.000000e+02
4550,0.00101325,2.000000e+02
4575,0.00101325,2.000000e+02
4600,0.00101325,2.000000e+02
4625,0.00101325,2.000000e+02
4650,0.00101325,2.000000e+02
4675,0.00101325,2.000000e+02
4700,0.00101325,2.000000e+02
4725,0.00101325,2.000000e+02
4750,0.00101325,2.000000e+02
4775,0.00101325,2.000000e+02
4800,0.00101325,2.000000e+02
4825,0.00101325,2.000000e+02
4850,0.00101325,2.000000e+02
4875,0.00101325,2.000000e+02
4900,0.00101325,2.000000e+02
4925,0.00101325,2.000000e+02
4950,0.00101325,2.000000e+02
4975,0.00101325,2.000000e+02
5000,0.00101325,2.000000e+02
300,0.00180184,4.656580e-01
325,0.00180184,4.656580e-01
350,0.00180184,4.656580e-01
375,0.00180184,4.656580e-01
400,0.00180184,4.656580e-01
425,0.00180184,4.656580e-01
450,0.00180184,4.656580e-01
475,0.00180184,4.656580e-01
500,0.00180184,4.656580e-01
525,0.00180184,4.656580e-01
550,0.00180184,4.656580e-01
575,0.00180184,4.656580e-01
600,0.00180184,4.656580e-01
625,0.00180184,4.656580e-01
650,0.00180184,4.656580e-01
675,0.00180184,4.656580e-01
700,0.00180184,4.656580e-01
725,0.00180184,4.656580e-01
750,0.00180184,4.656580e-01
775,0.00180184,4.656580e-01
800,0.00180184,4.656580e-01
825,0.00180184,4.656580e-01
850,0.00180184,4.656580e-01
875,0.00180184,4.656580e-01
900,0.00180184,4.656580e-01
925,0.00180184,4.656580e-01
950,0.00180184,4.656580e-01
975,0.00180184,4.656580e-01
1000,0.00180184,4.656580e-01
