Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,C(gr)
2.0,0.001,8.000000e+02,0.000000e+00,-1.482840e+00,2.086110e-36,6.889890e-11,2.703130e-26,2.156330e-27,4.311840e-04,5.778430e-23,2.793680e-01,7.704390e-03,5.959930e-42,4.214230e-29,7.323620e-13,6.117140e-41,2.576210e-54,3.444020e-25,1.587960e-54,3.569740e-08,5.650540e-01,3.697160e-03,1.437450e-01,2.362090e-20,5.329330e-41,1.380740e-37,4.290290e-33,6.605070e-22,1.826390e-32,1.608500e-23,7.861130e-13,5.823550e-11,6.586660e-12,2.456430e-30,3.068490e-22,3.579340e-33,1.760950e-28,1.146120e-28,1.968790e-16,1.000000e+00
2.0,0.001,8.250000e+02,0.000000e+00,-1.347050e+00,5.532000e-35,1.884800e-10,1.452530e-25,1.877430e-26,2.888200e-04,4.252330e-22,2.872890e-01,3.717220e-03,2.673740e-40,5.565330e-28,2.046290e-12,2.806090e-39,3.280870e-52,2.684780e-24,2.148530e-52,6.481860e-08,5.637360e-01,2.045410e-03,1.429240e-01,3.582090e-20,9.610740e-40,3.163990e-36,2.283690e-32,8.833680e-22,2.771790e-31,9.371460e-23,1.483220e-12,6.970530e-11,4.106900e-12,1.826910e-29,1.360900e-21,7.118520e-33,1.803870e-28,3.331620e-28,3.965690e-16,1.000000e+00
2.0,0.001,8.500000e+02,0.000000e+00,-1.251020e+00,1.209830e-33,4.865770e-10,6.984930e-25,1.441810e-25,1.982600e-04,2.785100e-21,2.911140e-01,1.825210e-03,9.586520e-39,6.315320e-27,5.385440e-12,1.026600e-37,3.140490e-50,1.856220e-23,2.177000e-50,1.138150e-07,5.631890e-01,1.157560e-03,1.425160e-01,5.239040e-20,1.466400e-38,6.038560e-35,1.091080e-31,1.163580e-21,3.585340e-30,4.924590e-22,2.697950e-12,8.263230e-11,2.637120e-12,1.207730e-28,5.534420e-21,1.345290e-32,1.826660e-28,8.869850e-28,7.573180e-16,1.000000e+00
2.0,0.001,8.750000e+02,0.000000e+00,-1.174210e+00,2.218300e-32,1.190910e-09,3.054770e-24,9.866190e-25,1.390170e-04,1.638790e-20,2.929770e-01,9.228350e-04,2.800210e-37,6.236390e-26,1.341030e-11,3.053970e-36,2.315340e-48,1.149230e-22,1.693280e-48,1.936360e-07,5.629780e-01,6.728550e-04,1.423110e-01,7.455370e-20,1.917970e-37,9.743890e-34,4.747950e-31,1.508830e-21,4.006010e-29,2.353330e-21,4.741720e-12,9.698070e-11,1.736410e-12,7.162360e-28,2.077230e-20,2.438940e-32,1.839170e-28,2.208190e-27,1.386120e-15,1.000000e+00
2.0,0.001,9.000000e+02,0.000000e+00,-1.106570e+00,3.460530e-31,2.775260e-09,1.228380e-23,6.071850e-24,9.934560e-05,8.738080e-20,2.939070e-01,4.822370e-04,6.778080e-36,5.420920e-25,3.173240e-11,7.515720e-35,1.343620e-46,6.428410e-22,1.033490e-46,3.198950e-07,5.629050e-01,4.019470e-04,1.422040e-01,1.037390e-19,2.176850e-36,1.347610e-32,1.901180e-30,1.927140e-21,3.913260e-28,1.030540e-20,8.072070e-12,1.127250e-10,1.169110e-12,3.843660e-27,7.240770e-20,4.266880e-32,1.846290e-28,5.201290e-27,2.447320e-15,1.000000e+00
2.0,0.001,9.250000e+02,0.000000e+00,-1.043360e+00,4.653410e-30,6.181820e-09,4.579170e-23,3.389120e-23,7.223420e-05,4.255270e-19,2.943870e-01,2.604860e-04,1.380430e-34,4.190620e-24,7.164090e-11,1.553790e-33,6.257480e-45,3.275180e-21,5.047880e-45,5.142960e-07,5.628870e-01,2.465430e-04,1.421460e-01,1.415820e-19,2.168070e-35,1.617270e-31,7.060100e-30,2.426840e-21,3.378430e-27,4.164300e-20,1.334270e-11,1.298450e-10,8.032460e-13,1.881480e-26,2.357810e-19,7.232900e-32,1.850510e-28,1.167640e-26,4.186030e-15,1.000000e+00
2.0,0.001,9.500000e+02,0.000000e+00,-9.822950e-01,5.457430e-29,1.320830e-08,1.592990e-22,1.728850e-22,5.336480e-05,1.906040e-18,2.946420e-01,1.452540e-04,2.397860e-33,2.907790e-23,1.548850e-10,2.735910e-32,2.379660e-43,1.531020e-20,2.008020e-43,8.063050e-07,5.628890e-01,1.550450e-04,1.421140e-01,1.899320e-19,1.914190e-34,1.702990e-30,2.447190e-29,3.016430e-21,2.602960e-26,1.562650e-19,2.146390e-11,1.483190e-10,5.622520e-13,8.461880e-26,7.210540e-19,1.191670e-31,1.853120e-28,2.511020e-26,6.958160e-15,1.000000e+00
2.0,0.001,9.750000e+02,0.000000e+00,-9.222510e-01,5.641030e-28,2.715650e-08,5.200570e-22,8.115510e-22,4.001030e-05,7.903350e-18,2.947830e-01,8.346470e-05,3.596180e-32,1.826130e-22,3.217290e-10,4.153950e-31,7.505620e-42,6.610080e-20,6.608860e-42,1.235060e-06,5.628970e-01,9.981000e-05,1.420950e-01,2.508580e-19,1.512000e-33,1.589260e-29,7.961490e-29,3.704470e-21,1.805490e-25,5.476430e-19,3.367360e-11,1.681270e-10,4.004090e-13,3.519530e-25,2.080940e-18,1.913090e-31,1.854850e-28,5.193210e-26,1.126820e-14,1.000000e+00
2.0,0.001,1.000000e+03,0.000000e+00,-8.626570e-01,5.187860e-27,5.388170e-08,1.601140e-21,3.527420e-21,3.041160e-05,3.051180e-17,2.948620e-01,4.932450e-05,4.708090e-31,1.045780e-21,6.440390e-10,5.499160e-30,1.991130e-40,2.651540e-19,1.825370e-40,1.851540e-06,5.629070e-01,6.566740e-05,1.420840e-01,3.266480e-19,1.077390e-32,1.326330e-28,2.442860e-28,4.499480e-21,1.136370e-24,1.801690e-18,5.161990e-11,1.892390e-10,2.897600e-13,1.361810e-24,5.692150e-18,2.999050e-31,1.856150e-28,1.036260e-25,1.781560e-14,1.000000e+00
2.0,0.001,1.025000e+03,0.000000e+00,-8.032250e-01,4.281400e-26,1.034370e-07,4.669160e-21,1.427640e-20,2.341270e-05,1.102480e-16,2.949080e-01,2.992160e-05,5.434350e-30,5.498110e-21,1.245820e-09,6.411530e-29,4.499360e-39,9.935500e-19,4.285510e-39,2.720910e-06,5.629150e-01,4.408960e-05,1.420770e-01,4.198070e-19,6.977740e-32,9.979700e-28,7.099970e-28,5.409810e-21,6.536270e-24,5.590140e-18,7.745290e-11,2.116260e-10,2.128460e-13,4.928060e-24,1.481600e-17,4.599510e-31,1.857280e-28,2.000580e-25,2.755030e-14,1.000000e+00
