Tw_K,P_bar,O2_C2H2,f_air,Bg,Bc
4600,0.00101325,1,0,0,2.000000e+02
4625,0.00101325,1,0,0,2.000000e+02
4650,0.00101325,1,0,0,2.000000e+02
4675,0.00101325,1,0,0,2.000000e+02
4700,0.00101325,1,0,0,2.000000e+02
4725,0.00101325,1,0,0,2.000000e+02
4750,0.00101325,1,0,0,2.000000e+02
4775,0.00101325,1,0,0,2.000000e+02
4800,0.00101325,1,0,0,2.000000e+02
4825,0.00101325,1,0,0,2.000000e+02
4850,0.00101325,1,0,0,2.000000e+02
4875,0.00101325,1,0,0,2.000000e+02
4900,0.00101325,1,0,0,2.000000e+02
4925,0.00101325,1,0,0,2.000000e+02
4950,0.00101325,1,0,0,2.000000e+02
4975,0.00101325,1,0,0,2.000000e+02
5000,0.00101325,1,0,0,2.000000e+02
300,0.00180184,1,0,0,0.000000e+00
325,0.00180184,1,0,0,0.000000e+00
350,0.00180184,1,0,0,0.000000e+00
375,0.00180184,1,0,0,0.000000e+00
400,0.00180184,1,0,0,0.000000e+00
425,0.00180184,1,0,0,0.000000e+00
450,0.00180184,1,0,0,0.000000e+00
475,0.00180184,1,0,0,0.000000e+00
500,0.00180184,1,0,0,0.000000e+00
525,0.00180184,1,0,0,0.000000e+00
550,0.00180184,1,0,0,0.000000e+00
575,0.00180184,1,0,0,0.000000e+00
600,0.00180184,1,0,0,0.000000e+00
625,0.00180184,1,0,0,0.000000e+00
650,0.00180184,1,0,0,0.000000e+00
675,0.00180184,1,0,0,0.000000e+00
700,0.00180184,1,0,0,0.000000e+00
725,0.00180184,1,0,0,0.000000e+00
750,0.00180184,1,0,0,0.000000e+00
775,0.00180184,1,0,0,0.000000e+00
800,0.00180184,1,0,0,0.000000e+00
825,0.00180184,1,0,0,0.000000e+00
850,0.00180184,1,0,0,0.000000e+00
875,0.00180184,1,0,0,0.000000e+00
900,0.00180184,1,0,0,0.000000e+00
925,0.00180184,1,0,0,0.000000e+00
950,0.00180184,1,0,0,0.000000e+00
975,0.00180184,1,0,0,0.000000e+00
1000,0.00180184,1,0,0,0.000000e+00
1025,0.00180184,1,0,0,0.000000e+00
1050,0.00180184,1,0,0,0.000000e+00
1075,0.00180184,1,0,0,0.000000e+00
1100,0.00180184,1,0,0,0.000000e+00
1125,0.00180184,1,0,0,0.000000e+00
1150,0.00180184,1,0,0,0.000000e+00
1175,0.00180184,1,0,0,0.000000e+00
1200,0.00180184,1,0,0,0.000000e+00
1225,0.00180184,1,0,0,0.000000e+00
1250,0.00180184,1,0,0,0.000000e+00
1275,0.00180184,1,0,0,0.000000e+00
1300,0.00180184,1,0,0,0.000000e+00
1325,0.00180184,1,0,0,0.000000e+00
1350,0.00180184,1,0,0,0.000000e+00
1375,0.00180184,1,0,0,3.720720e-07
1400,0.00180184,1,0,0,1.064270e-06
1425,0.00180184,1,0,0,1.769230e-06
1450,0.00180184,1,0,0,2.546100e-06
1475,0.00180184,1,0,0,3.454360e-06
1500,0.00180184,1,0,0,4.557480e-06
1525,0.00180184,1,0,0,5.926060e-06
1550,0.00180184,1,0,0,7.640620e-06
1575,0.00180184,1,0,0,9.794140e-06
1600,0.00180184,1,0,0,1.249450e-05
1625,0.00180184,1,0,0,1.586710e-05
1650,0.00180184,1,0,0,2.005680e-05
1675,0.00180184,1,0,0,2.523090e-05
1700,0.00180184,1,0,0,3.158090e-05
1725,0.00180184,1,0,0,3.932520e-05
1750,0.00180184,1,0,0,4.871080e-05
1775,0.00180184,1,0,0,6.001570e-05
1800,0.00180184,1,0,0,7.354980e-05
1825,0.00180184,1,0,0,8.965680e-05
1850,0.00180184,1,0,0,1.087150e-04
1875,0.00180184,1,0,0,1.311350e-04
1900,0.00180184,1,0,0,1.573640e-04
1925,0.00180184,1,0,0,1.878790e-04
1950,0.00180184,1,0,0,2.231850e-04
1975,0.00180184,1,0,0,2.638130e-04
2000,0.00180184,1,0,0,3.103120e-04
2025,0.00180184,1,0,0,3.632440e-04
2050,0.00180184,1,0,0,4.231730e-04
2075,0.00180184,1,0,0,4.906570e-04
2100,0.00180184,1,0,0,5.662370e-04
2125,0.00180184,1,0,0,6.504280e-04
2150,0.00180184,1,0,0,7.437090e-04
2175,0.00180184,1,0,0,8.465170e-04
2200,0.00180184,1,0,0,9.592530e-04
2225,0.00180184,1,0,0,1.082290e-03
2250,0.00180184,1,0,0,1.216030e-03
2275,0.00180184,1,0,0,1.360920e-03
2300,0.00180184,1,0,0,1.517600e-03
2325,0.00180184,1,0,0,1.687080e-03
2350,0.00180184,1,0,0,1.870950e-03
2375,0.00180184,1,0,0,2.071790e-03
2400,0.00180184,1,0,0,2.293710e-03
2425,0.00180184,1,0,0,2.543150e-03
2450,0.00180184,1,0,0,2.829890e-03
2475,0.00180184,1,0,0,3.168580e-03
2500,0.00180184,1,0,0,3.580740e-03
2525,0.00180184,1,0,0,4.097410e-03
2550,0.00180184,1,0,0,4.762750e-03
2575,0.00180184,1,0,0,5.638770e-03
2600,0.00180184,1,0,0,6.811460e-03
2625,0.00180184,1,0,0,8.399010e-03
2650,0.00180184,1,0,0,1.056240e-02
2675,0.00180184,1,0,0,1.351930e-02
2700,0.00180184,1,0,0,1.756260e-02
2725,0.00180184,1,0,0,2.308510e-02
2750,0.00180184,1,0,0,3.061230e-02
2775,0.00180184,1,0,0,4.084810e-02
2800,0.00180184,1,0,0,5.473790e-02
2825,0.00180184,1,0,0,7.355990e-02
2850,0.00180184,1,0,0,9.905870e-02
2875,0.00180184,1,0,0,1.336500e-01
2900,0.00180184,1,0,0,1.807470e-01
2925,0.00180184,1,0,0,2.452970e-01
2950,0.00180184,1,0,0,3.347280e-01
2975,0.00180184,1,0,0,4.607020e-01
3000,0.00180184,1,0,0,6.426470e-01
3025,0.00180184,1,0,0,9.155650e-01
3050,0.00180184,1,0,0,1.349720e+00
3075,0.00180184,1,0,0,2.110420e+00
3100,0.00180184,1,0,0,3.702060e+00
3125,0.00180184,1,0,0,8.758710e+00
3150,0.00180184,1,0,0,2.000000e+02
3175,0.00180184,1,0,0,2.000000e+02
3200,0.00180184,1,0,0,2.000000e+02
3225,0.00180184,1,0,0,2.000000e+02
3250,0.00180184,1,0,0,2.000000e+02
3275,0.00180184,1,0,0,2.000000e+02
3300,0.00180184,1,0,0,2.000000e+02
3325,0.00180184,1,0,0,2.000000e+02
3350,0.00180184,1,0,0,2.000000e+02
3375,0.00180184,1,0,0,2.000000e+02
3400,0.00180184,1,0,0,2.000000e+02
3425,0.00180184,1,0,0,2.000000e+02
3450,0.00180184,1,0,0,2.000000e+02
3475,0.00180184,1,0,0,2.000000e+02
3500,0.00180184,1,0,0,2.000000e+02
3525,0.00180184,1,0,0,2.000000e+02
3550,0.00180184,1,0,0,2.000000e+02
3575,0.00180184,1,0,0,2.000000e+02
3600,0.00180184,1,0,0,2.000000e+02
3625,0.00180184,1,0,0,2.000000e+02
3650,0.00180184,1,0,0,2.000000e+02
3675,0.00180184,1,0,0,2.000000e+02
3700,0.00180184,1,0,0,2.000000e+02
3725,0.00180184,1,0,0,2.000000e+02
3750,0.00180184,1,0,0,2.000000e+02
3775,0.00180184,1,0,0,2.000000e+02
3800,0.00180184,1,0,0,2.000000e+02
3825,0.00180184,1,0,0,2.000000e+02
3850,0.00180184,1,0,0,2.000000e+02
3875,0.00180184,1,0,0,2.000000e+02
3900,0.00180184,1,0,0,2.000000e+02
3925,0.00180184,1,0,0,2.000000e+02
3950,0.00180184,1,0,0,2.000000e+02
3975,0.00180184,1,0,0,2.000000e+02
4000,0.00180184,1,0,0,2.000000e+02
4025,0.00180184,1,0,0,2.000000e+02
4050,0.00180184,1,0,0,2.000000e+02
4075,0.00180184,1,0,0,2.000000e+02
4100,0.00180184,1,0,0,2.000000e+02
4125,0.00180184,1,0,0,2.000000e+02
4150,0.00180184,1,0,0,2.000000e+02
4175,0.00180184,1,0,0,2.000000e+02
4200,0.00180184,1,0,0,2.000000e+02
4225,0.00180184,1,0,0,2.000000e+02
4250,0.00180184,1,0,0,2.000000e+02
4275,0.00180184,1,0,0,2.000000e+02
4300,0.00180184,1,0,0,2.000000e+02
4325,0.00180184,1,0,0,2.000000e+02
4350,0.00180184,1,0,0,2.000000e+02
4375,0.00180184,1,0,0,2.000000e+02
4400,0.00180184,1,0,0,2.000000e+02
4425,0.00180184,1,0,0,2.000000e+02
4450,0.00180184,1,0,0,2.000000e+02
4475,0.00180184,1,0,0,2.000000e+02
4500,0.00180184,1,0,0,2.000000e+02
4525,0.00180184,1,0,0,2.000000e+02
4550,0.00180184,1,0,0,2.000000e+02
4575,0.00180184,1,0,0,2.000000e+02
4600,0.00180184,1,0,0,2.000000e+02
4625,0.00180184,1,0,0,2.000000e+02
4650,0.00180184,1,0,0,2.000000e+02
4675,0.00180184,1,0,0,2.000000e+02
4700,0.00180184,1,0,0,2.000000e+02
4725,0.00180184,1,0,0,2.000000e+02
4750,0.00180184,1,0,0,2.000000e+02
4775,0.00180184,1,0,0,2.000000e+02
4800,0.00180184,1,0,0,2.000000e+02
4825,0.00180184,1,0,0,2.000000e+02
4850,0.00180184,1,0,0,2.000000e+02
4875,0.00180184,1,0,0,2.000000e+02
4900,0.00180184,1,0,0,2.000000e+02
4925,0.00180184,1,0,0,2.000000e+02
4950,0.00180184,1,0,0,2.000000e+02
4975,0.00180184,1,0,0,2.000000e+02
5000,0.00180184,1,0,0,2.000000e+02
300,0.00320418,1,0,0,0.000000e+00
325,0.00320418,1,0,0,0.000000e+00
350,0.00320418,1,0,0,0.000000e+00
375,0.00320418,1,0,0,0.000000e+00
400,0.00320418,1,0,0,0.000000e+00
425,0.00320418,1,0,0,0.000000e+00
450,0.00320418,1,0,0,0.000000e+00
475,0.00320418,1,0,0,0.000000e+00
500,0.00320418,1,0,0,0.000000e+00
525,0.00320418,1,0,0,0.000000e+00
550,0.00320418,1,0,0,0.000000e+00
575,0.00320418,1,0,0,0.000000e+00
600,0.00320418,1,0,0,0.000000e+00
625,0.00320418,1,0,0,0.000000e+00
650,0.00320418,1,0,0,0.000000e+00
675,0.00320418,1,0,0,0.000000e+00
700,0.00320418,1,0,0,0.000000e+00
725,0.00320418,1,0,0,0.000000e+00
750,0.00320418,1,0,0,0.000000e+00
775,0.00320418,1,0,0,0.000000e+00
800,0.00320418,1,0,0,0.000000e+00
825,0.00320418,1,0,0,0.000000e+00
850,0.00320418,1,0,0,0.000000e+00
875,0.00320418,1,0,0,0.000000e+00
900,0.00320418,1,0,0,0.000000e+00
925,0.00320418,1,0,0,0.000000e+00
950,0.00320418,1,0,0,0.000000e+00
975,0.00320418,1,0,0,0.000000e+00
1000,0.00320418,1,0,0,0.000000e+00
1025,0.00320418,1,0,0,0.000000e+00
1050,0.00320418,1,0,0,0.000000e+00
1075,0.00320418,1,0,0,0.000000e+00
1100,0.00320418,1,0,0,0.000000e+00
1125,0.00320418,1,0,0,0.000000e+00
1150,0.00320418,1,0,0,0.000000e+00
1175,0.00320418,1,0,0,0.000000e+00
1200,0.00320418,1,0,0,0.000000e+00
1225,0.00320418,1,0,0,0.000000e+00
1250,0.00320418,1,0,0,0.000000e+00
1275,0.00320418,1,0,0,0.000000e+00
1300,0.00320418,1,0,0,0.000000e+00
1325,0.00320418,1,0,0,0.000000e+00
1350,0.00320418,1,0,0,0.000000e+00
1375,0.00320418,1,0,0,0.000000e+00
1400,0.00320418,1,0,0,1.124470e-07
1425,0.00320418,1,0,0,1.041100e-06
1450,0.00320418,1,0,0,1.986510e-06
1475,0.00320418,1,0,0,3.022710e-06
1500,0.00320418,1,0,0,4.223670e-06
1525,0.00320418,1,0,0,5.667640e-06
1550,0.00320418,1,0,0,7.440760e-06
1575,0.00320418,1,0,0,9.640220e-06
1600,0.00320418,1,0,0,1.237720e-05
1625,0.00320418,1,0,0,1.577960e-05
1650,0.00320418,1,0,0,1.999450e-05
1675,0.00320418,1,0,0,2.519130e-05
1700,0.00320418,1,0,0,3.156350e-05
1725,0.00320418,1,0,0,3.933180e-05
1750,0.00320418,1,0,0,4.874610e-05
1775,0.00320418,1,0,0,6.008790e-05
1800,0.00320418,1,0,0,7.367230e-05
1825,0.00320418,1,0,0,8.984940e-05
1850,0.00320418,1,0,0,1.090060e-04
1875,0.00320418,1,0,0,1.315660e-04
1900,0.00320418,1,0,0,1.579910e-04
1925,0.00320418,1,0,0,1.887790e-04
1950,0.00320418,1,0,0,2.244650e-04
1975,0.00320418,1,0,0,2.656130e-04
2000,0.00320418,1,0,0,3.128200e-04
2025,0.00320418,1,0,0,3.667050e-04
2050,0.00320418,1,0,0,4.279040e-04
2075,0.00320418,1,0,0,4.970630e-04
2100,0.00320418,1,0,0,5.748310e-04
2125,0.00320418,1,0,0,6.618450e-04
2150,0.00320418,1,0,0,7.587270e-04
2175,0.00320418,1,0,0,8.660690e-04
2200,0.00320418,1,0,0,9.844340e-04
2225,0.00320418,1,0,0,1.114350e-03
2250,0.00320418,1,0,0,1.256320e-03
2275,0.00320418,1,0,0,1.410860e-03
2300,0.00320418,1,0,0,1.578510e-03
2325,0.00320418,1,0,0,1.759950e-03
2350,0.00320418,1,0,0,1.956100e-03
2375,0.00320418,1,0,0,2.168350e-03
2400,0.00320418,1,0,0,2.398760e-03
2425,0.00320418,1,0,0,2.650580e-03
2450,0.00320418,1,0,0,2.928710e-03
2475,0.00320418,1,0,0,3.240590e-03
2500,0.00320418,1,0,0,3.597230e-03
2525,0.00320418,1,0,0,4.014720e-03
2550,0.00320418,1,0,0,4.516240e-03
2575,0.00320418,1,0,0,5.134610e-03
2600,0.00320418,1,0,0,5.915850e-03
2625,0.00320418,1,0,0,6.923640e-03
2650,0.00320418,1,0,0,8.245270e-03
2675,0.00320418,1,0,0,9.999260e-03
2700,0.00320418,1,0,0,1.234530e-02
2725,0.00320418,1,0,0,1.549740e-02
2750,0.00320418,1,0,0,1.974030e-02
2775,0.00320418,1,0,0,2.545250e-02
2800,0.00320418,1,0,0,3.313550e-02
2825,0.00320418,1,0,0,4.345480e-02
2850,0.00320418,1,0,0,5.729570e-02
2875,0.00320418,1,0,0,7.584320e-02
2900,0.00320418,1,0,0,1.006980e-01
2925,0.00320418,1,0,0,1.340520e-01
2950,0.00320418,1,0,0,1.789600e-01
2975,0.00320418,1,0,0,2.397880e-01
3000,0.00320418,1,0,0,3.229730e-01
3025,0.00320418,1,0,0,4.384020e-01
3050,0.00320418,1,0,0,6.020830e-01
3075,0.00320418,1,0,0,8.417870e-01
3100,0.00320418,1,0,0,1.210400e+00
3125,0.00320418,1,0,0,1.822890e+00
3150,0.00320418,1,0,0,2.985910e+00
3175,0.00320418,1,0,0,5.885090e+00
3200,0.00320418,1,0,0,2.373020e+01
3225,0.00320418,1,0,0,2.000000e+02
3250,0.00320418,1,0,0,2.000000e+02
3275,0.00320418,1,0,0,2.000000e+02
3300,0.00320418,1,0,0,2.000000e+02
3325,0.00320418,1,0,0,2.000000e+02
3350,0.00320418,1,0,0,2.000000e+02
3375,0.00320418,1,0,0,2.000000e+02
3400,0.00320418,1,0,0,2.000000e+02
3425,0.00320418,1,0,0,2.000000e+02
3450,0.00320418,1,0,0,2.000000e+02
3475,0.00320418,1,0,0,2.000000e+02
3500,0.00320418,1,0,0,2.000000e+02
3525,0.00320418,1,0,0,2.000000e+02
3550,0.00320418,1,0,0,2.000000e+02
3575,0.00320418,1,0,0,2.000000e+02
3600,0.00320418,1,0,0,2.000000e+02
3625,0.00320418,1,0,0,2.000000e+02
3650,0.00320418,1,0,0,2.000000e+02
3675,0.00320418,1,0,0,2.000000e+02
3700,0.00320418,1,0,0,2.000000e+02
3725,0.00320418,1,0,0,2.000000e+02
3750,0.00320418,1,0,0,2.000000e+02
3775,0.00320418,1,0,0,2.000000e+02
3800,0.00320418,1,0,0,2.000000e+02
3825,0.00320418,1,0,0,2.000000e+02
3850,0.00320418,1,0,0,2.000000e+02
3875,0.00320418,1,0,0,2.000000e+02
3900,0.00320418,1,0,0,2.000000e+02
3925,0.00320418,1,0,0,2.000000e+02
3950,0.00320418,1,0,0,2.000000e+02
3975,0.00320418,1,0,0,2.000000e+02
4000,0.00320418,1,0,0,2.000000e+02
4025,0.00320418,1,0,0,2.000000e+02
4050,0.00320418,1,0,0,2.000000e+02
4075,0.00320418,1,0,0,2.000000e+02
4100,0.00320418,1,0,0,2.000000e+02
4125,0.00320418,1,0,0,2.000000e+02
4150,0.00320418,1,0,0,2.000000e+02
4175,0.00320418,1,0,0,2.000000e+02
4200,0.00320418,1,0,0,2.000000e+02
4225,0.00320418,1,0,0,2.000000e+02
4250,0.00320418,1,0,0,2.000000e+02
4275,0.00320418,1,0,0,2.000000e+02
4300,0.00320418,1,0,0,2.000000e+02
4325,0.00320418,1,0,0,2.000000e+02
4350,0.00320418,1,0,0,2.000000e+02
4375,0.00320418,1,0,0,2.000000e+02
4400,0.00320418,1,0,0,2.000000e+02
4425,0.00320418,1,0,0,2.000000e+02
4450,0.00320418,1,0,0,2.000000e+02
4475,0.00320418,1,0,0,2.000000e+02
4500,0.00320418,1,0,0,2.000000e+02
4525,0.00320418,1,0,0,2.000000e+02
4550,0.00320418,1,0,0,2.000000e+02
4575,0.00320418,1,0,0,2.000000e+02
4600,0.00320418,1,0,0,2.000000e+02
4625,0.00320418,1,0,0,2.000000e+02
4650,0.00320418,1,0,0,2.000000e+02
4675,0.00320418,1,0,0,2.000000e+02
4700,0.00320418,1,0,0,2.000000e+02
4725,0.00320418,1,0,0,2.000000e+02
4750,0.00320418,1,0,0,2.000000e+02
4775,0.00320418,1,0,0,2.000000e+02
4800,0.00320418,1,0,0,2.000000e+02
4825,0.00320418,1,0,0,2.000000e+02
4850,0.00320418,1,0,0,2.000000e+02
4875,0.00320418,1,0,0,2.000000e+02
4900,0.00320418,1,0,0,2.000000e+02
4925,0.00320418,1,0,0,2.000000e+02
4950,0.00320418,1,0,0,2.000000e+02
4975,0.00320418,1,0,0,2.000000e+02
5000,0.00320418,1,0,0,2.000000e+02
300,0.00569792,1,0,0,0.000000e+00
325,0.00569792,1,0,0,0.000000e+00
350,0.00569792,1,0,0,0.000000e+00
375,0.00569792,1,0,0,0.000000e+00
400,0.00569792,1,0,0,0.000000e+00
425,0.00569792,1,0,0,0.000000e+00
450,0.00569792,1,0,0,0.000000e+00
475,0.00569792,1,0,0,0.000000e+00
500,0.00569792,1,0,0,0.000000e+00
525,0.00569792,1,0,0,0.000000e+00
550,0.00569792,1,0,0,0.000000e+00
575,0.00569792,1,0,0,0.000000e+00
600,0.00569792,1,0,0,0.000000e+00
625,0.00569792,1,0,0,0.000000e+00
650,0.00569792,1,0,0,0.000000e+00
675,0.00569792,1,0,0,0.000000e+00
700,0.00569792,1,0,0,0.000000e+00
725,0.00569792,1,0,0,0.000000e+00
750,0.00569792,1,0,0,0.000000e+00
775,0.00569792,1,0,0,0.000000e+00
800,0.00569792,1,0,0,0.000000e+00
825,0.00569792,1,0,0,0.000000e+00
850,0.00569792,1,0,0,0.000000e+00
875,0.00569792,1,0,0,0.000000e+00
900,0.00569792,1,0,0,0.000000e+00
925,0.00569792,1,0,0,0.000000e+00
950,0.00569792,1,0,0,0.000000e+00
975,0.00569792,1,0,0,0.000000e+00
1000,0.00569792,1,0,0,0.000000e+00
1025,0.00569792,1,0,0,0.000000e+00
1050,0.00569792,1,0,0,0.000000e+00
1075,0.00569792,1,0,0,0.000000e+00
1100,0.00569792,1,0,0,0.000000e+00
1125,0.00569792,1,0,0,0.000000e+00
1150,0.00569792,1,0,0,0.000000e+00
1175,0.00569792,1,0,0,0.000000e+00
1200,0.00569792,1,0,0,0.000000e+00
1225,0.00569792,1,0,0,0.000000e+00
1250,0.00569792,1,0,0,0.000000e+00
1275,0.00569792,1,0,0,0.000000e+00
1300,0.00569792,1,0,0,0.000000e+00
1325,0.00569792,1,0,0,0.000000e+00
1350,0.00569792,1,0,0,0.000000e+00
