Tw_K,P_bar,phi,f_air,Bg,Bc
2175,0.00180184,0.8,0,0,4.438760e-01
2200,0.00180184,0.8,0,0,4.439580e-01
2225,0.00180184,0.8,0,0,4.440460e-01
2250,0.00180184,0.8,0,0,4.441430e-01
2275,0.00180184,0.8,0,0,4.442470e-01
2300,0.00180184,0.8,0,0,4.443590e-01
2325,0.00180184,0.8,0,0,4.444820e-01
2350,0.00180184,0.8,0,0,4.446160e-01
2375,0.00180184,0.8,0,0,4.447660e-01
2400,0.00180184,0.8,0,0,4.449370e-01
2425,0.00180184,0.8,0,0,4.451370e-01
2450,0.00180184,0.8,0,0,4.453770e-01
2475,0.00180184,0.8,0,0,4.456770e-01
2500,0.00180184,0.8,0,0,4.460620e-01
2525,0.00180184,0.8,0,0,4.465680e-01
2550,0.00180184,0.8,0,0,4.472480e-01
2575,0.00180184,0.8,0,0,4.481720e-01
2600,0.00180184,0.8,0,0,4.494400e-01
2625,0.00180184,0.8,0,0,4.511860e-01
2650,0.00180184,0.8,0,0,4.535910e-01
2675,0.00180184,0.8,0,0,4.569010e-01
2700,0.00180184,0.8,0,0,4.614430e-01
2725,0.00180184,0.8,0,0,4.676570e-01
2750,0.00180184,0.8,0,0,4.761300e-01
2775,0.00180184,0.8,0,0,4.876470e-01
2800,0.00180184,0.8,0,0,5.032620e-01
2825,0.00180184,0.8,0,0,5.243990e-01
2850,0.00180184,0.8,0,0,5.530050e-01
2875,0.00180184,0.8,0,0,5.917720e-01
2900,0.00180184,0.8,0,0,6.445040e-01
2925,0.00180184,0.8,0,0,7.167160e-01
2950,0.00180184,0.8,0,0,8.166870e-01
2975,0.00180184,0.8,0,0,9.574150e-01
3000,0.00180184,0.8,0,0,1.160550e+00
3025,0.00180184,0.8,0,0,1.465110e+00
3050,0.00180184,0.8,0,0,1.949380e+00
3075,0.00180184,0.8,0,0,2.797580e+00
3100,0.00180184,0.8,0,0,4.571760e+00
3125,0.00180184,0.8,0,0,1.020700e+01
3150,0.00180184,0.8,0,0,2.000000e+02
3175,0.00180184,0.8,0,0,2.000000e+02
3200,0.00180184,0.8,0,0,2.000000e+02
3225,0.00180184,0.8,0,0,2.000000e+02
3250,0.00180184,0.8,0,0,2.000000e+02
3275,0.00180184,0.8,0,0,2.000000e+02
3300,0.00180184,0.8,0,0,2.000000e+02
3325,0.00180184,0.8,0,0,2.000000e+02
3350,0.00180184,0.8,0,0,2.000000e+02
3375,0.00180184,0.8,0,0,2.000000e+02
3400,0.00180184,0.8,0,0,2.000000e+02
3425,0.00180184,0.8,0,0,2.000000e+02
3450,0.00180184,0.8,0,0,2.000000e+02
3475,0.00180184,0.8,0,0,2.000000e+02
3500,0.00180184,0.8,0,0,2.000000e+02
3525,0.00180184,0.8,0,0,2.000000e+02
3550,0.00180184,0.8,0,0,2.000000e+02
3575,0.00180184,0.8,0,0,2.000000e+02
3600,0.00180184,0.8,0,0,2.000000e+02
3625,0.00180184,0.8,0,0,2.000000e+02
3650,0.00180184,0.8,0,0,2.000000e+02
3675,0.00180184,0.8,0,0,2.000000e+02
3700,0.00180184,0.8,0,0,2.000000e+02
3725,0.00180184,0.8,0,0,2.000000e+02
3750,0.00180184,0.8,0,0,2.000000e+02
3775,0.00180184,0.8,0,0,2.000000e+02
3800,0.00180184,0.8,0,0,2.000000e+02
3825,0.00180184,0.8,0,0,2.000000e+02
3850,0.00180184,0.8,0,0,2.000000e+02
3875,0.00180184,0.8,0,0,2.000000e+02
3900,0.00180184,0.8,0,0,2.000000e+02
3925,0.00180184,0.8,0,0,2.000000e+02
3950,0.00180184,0.8,0,0,2.000000e+02
