P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,C,C2,C3,CN,CO,CO2,Si,Si2,Si3,SiO,SiO2,SiN,Si2N,SiC,SiC2,Si2C,C(gr),Si(cr),Si(L),SiC(b),SiC(L),SiO2(a-qz),SiO2(b-qz),SiO2(b-crt),SiO2(L)
0.001,8.250000e+02,0.000000e+00,5.652230e-01,4.966040e-26,2.609270e-32,2.448390e-26,1.000000e+00,1.075090e-41,5.532000e-35,2.673740e-40,2.806090e-39,1.124800e-21,5.160760e-08,1.199520e-16,1.198060e-22,1.449690e-32,1.074510e-38,4.562370e-13,2.457280e-25,1.003160e-23,1.748710e-26,5.637480e-38,2.652090e-30,5.693640e-30,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,8.500000e+02,0.000000e+00,5.934990e-01,3.819230e-25,4.595220e-31,2.164900e-25,1.000000e+00,3.838880e-40,1.209830e-33,9.586520e-39,1.026600e-37,7.377500e-21,1.915170e-07,7.899540e-16,1.121960e-21,3.185430e-31,3.932530e-37,2.402730e-12,2.993850e-24,7.700910e-23,1.772630e-25,1.780040e-36,5.391280e-29,1.115410e-28,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,8.750000e+02,0.000000e+00,6.219210e-01,2.615360e-24,6.861840e-30,1.687640e-24,9.999990e-01,1.114200e-38,2.218300e-32,2.800210e-37,3.053970e-36,4.344140e-20,6.581060e-07,4.656390e-15,9.241740e-21,5.858520e-30,1.169710e-35,1.148210e-11,3.151990e-23,5.261970e-22,1.572950e-24,4.609660e-35,9.217540e-28,1.840410e-27,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.000000e+02,0.000000e+00,6.504820e-01,1.610150e-23,8.817460e-29,1.173330e-23,9.999980e-01,2.679980e-37,3.460530e-31,6.778080e-36,7.515720e-35,2.317180e-19,2.109700e-06,2.484740e-14,6.767960e-20,9.153430e-29,2.877040e-34,5.024800e-11,2.908850e-22,3.231530e-21,1.235450e-23,9.953690e-34,1.344690e-26,2.594510e-26,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.250000e+02,0.000000e+00,6.791730e-01,8.989140e-23,9.869640e-28,7.343330e-23,9.999940e-01,5.424260e-36,4.653410e-30,1.380430e-34,1.553790e-33,1.128650e-18,6.345030e-06,1.210080e-13,4.448680e-19,1.231140e-27,5.942570e-33,2.028200e-10,2.378430e-21,1.799200e-20,8.674530e-23,1.818760e-32,1.695500e-25,3.165230e-25,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.500000e+02,0.000000e+00,7.079740e-01,4.586010e-22,9.728450e-27,4.171660e-22,9.999820e-01,9.365090e-35,5.457430e-29,2.397860e-33,2.735910e-32,5.056040e-18,1.799390e-05,5.417390e-13,2.647150e-18,1.442470e-26,1.045100e-31,7.599380e-10,1.739610e-20,9.152180e-20,5.493190e-22,2.849550e-31,1.869150e-24,3.380080e-24,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.750000e+02,0.000000e+00,7.368350e-01,2.152860e-21,8.527370e-26,2.167220e-21,9.999520e-01,1.396260e-33,5.641030e-28,3.596180e-32,4.153950e-31,2.096580e-17,4.833550e-05,2.244040e-12,1.436900e-17,1.487980e-25,1.584450e-30,2.658360e-09,1.147980e-19,4.283110e-19,3.162340e-21,3.873670e-30,1.820310e-23,3.192120e-23,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.000000e+03,0.000000e+00,7.656530e-01,9.357470e-21,6.705570e-25,1.036530e-20,9.998770e-01,1.817540e-32,5.187860e-27,4.708090e-31,5.499160e-30,8.094110e-17,1.234880e-04,8.651200e-12,7.164260e-17,1.364390e-24,2.094010e-29,8.726980e-09,6.888100e-19,1.855630e-18,1.666860e-20,4.617910e-29,1.580680e-22,2.690720e-22,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.025000e+03,0.000000e+00,7.941970e-01,3.786960e-20,4.768190e-24,4.591610e-20,9.996990e-01,2.086340e-31,4.281400e-26,5.434350e-30,6.411530e-29,2.924440e-16,3.011630e-04,3.120430e-11,3.301500e-16,1.121700e-23,2.436820e-28,2.701180e-08,3.784200e-18,7.484410e-18,8.096240e-20,4.874400e-28,1.234200e-21,2.041340e-21,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.050000e+03,0.000000e+00,8.219810e-01,1.434150e-19,3.088070e-23,1.894110e-19,9.992960e-01,2.130970e-30,3.195260e-25,5.580260e-29,6.643520e-28,9.934880e-16,7.034620e-04,1.058070e-10,1.414140e-15,8.333110e-23,2.519810e-27,7.916180e-08,1.915580e-17,2.824550e-17,3.644800e-19,4.595440e-27,8.730950e-21,1.404400e-20,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.075000e+03,0.000000e+00,8.480260e-01,5.105240e-19,1.833440e-22,7.311430e-19,9.984210e-01,1.952540e-29,2.171660e-24,5.139310e-28,6.168510e-27,3.186670e-15,1.578530e-03,3.387360e-10,5.658900e-15,5.633880e-22,2.334520e-26,2.205010e-07,8.985860e-17,1.001890e-16,1.528670e-18,3.900240e-26,5.634680e-20,8.822060e-20,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.100000e+03,0.000000e+00,8.704170e-01,1.715030e-18,1.003840e-21,2.652250e-18,9.965870e-01,1.616870e-28,1.352730e-23,4.276790e-27,5.170820e-26,9.686260e-15,3.412170e-03,1.027910e-09,2.125420e-14,3.488790e-21,1.952410e-25,5.857990e-07,3.926570e-16,3.353450e-16,6.000570e-18,3.001430e-25,3.338310e-19,5.091510e-19,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.125000e+03,0.000000e+00,8.855340e-01,5.455340e-18,5.095910e-21,9.074530e-18,9.928760e-01,1.218240e-27,7.767570e-23,3.237640e-26,3.940010e-25,2.798730e-14,7.122950e-03,2.967250e-09,7.524350e-14,1.990480e-20,1.484090e-24,1.489040e-06,1.605900e-15,1.062730e-15,2.213140e-17,2.108050e-24,1.826040e-18,2.715080e-18,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.150000e+03,0.000000e+00,8.867560e-01,1.647410e-17,2.410360e-20,2.936900e-17,9.856040e-01,8.403390e-27,4.133480e-22,2.243440e-25,2.745980e-24,7.705220e-14,1.439230e-02,8.174790e-09,2.520460e-13,1.051920e-19,1.031740e-23,3.631920e-06,6.173770e-15,3.197130e-15,7.693590e-17,1.359370e-23,9.270150e-18,1.344690e-17,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.175000e+03,0.000000e+00,8.623280e-01,4.730620e-17,1.067080e-19,9.007730e-17,9.717850e-01,5.336860e-26,2.048380e-21,1.430960e-24,1.760500e-23,2.024120e-13,2.820670e-02,2.155860e-08,8.017000e-13,5.174650e-19,6.597610e-23,8.522950e-06,2.239910e-14,9.145500e-15,2.526160e-16,8.092270e-23,4.388580e-17,6.214710e-17,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.200000e+03,0.000000e+00,7.919570e-01,1.291800e-16,4.439870e-19,2.618950e-16,9.462590e-01,3.136710e-25,9.495080e-21,8.445270e-24,1.043720e-22,5.072830e-13,5.372200e-02,5.457250e-08,2.429250e-12,2.380140e-18,3.901050e-22,1.928940e-05,7.697160e-14,2.487680e-14,7.838230e-16,4.469470e-22,1.945910e-16,2.691910e-16,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.225000e+03,0.000000e+00,6.424290e-01,3.346220e-16,1.738750e-18,7.185010e-16,9.005800e-01,1.706350e-24,4.133870e-20,4.633830e-23,5.749370e-22,1.209670e-12,9.937810e-02,1.323180e-07,7.033190e-12,1.027870e-17,2.143100e-21,4.210020e-05,2.502000e-13,6.418600e-14,2.293460e-15,2.300850e-21,8.113770e-16,1.097160e-15,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.250000e+03,0.000000e+00,4.712310e-01,8.299610e-16,6.082520e-18,1.775930e-15,8.493560e-01,7.717930e-24,1.510300e-19,1.881030e-22,2.084490e-21,2.465570e-12,1.505500e-01,2.452120e-07,2.191770e-11,5.280180e-17,1.557960e-20,9.434000e-05,7.753880e-13,1.781430e-13,8.065220e-15,1.108680e-20,2.842340e-15,4.744600e-15,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.275000e+03,0.000000e+00,5.010350e-01,2.043370e-15,1.773760e-17,3.814400e-15,8.491980e-01,2.521690e-23,4.020640e-19,4.247040e-22,3.236120e-21,3.852560e-12,1.505680e-01,2.606250e-07,8.517650e-11,4.324110e-16,2.322520e-19,2.337670e-04,2.297460e-12,6.371460e-13,4.720850e-14,5.020000e-20,7.263380e-15,2.524260e-14,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.300000e+03,0.000000e+00,5.301350e-01,4.859640e-15,4.964730e-17,7.954530e-15,8.488290e-01,7.872770e-23,1.031150e-18,9.297750e-22,4.942500e-21,5.917790e-12,1.506110e-01,2.764680e-07,3.139500e-10,3.260890e-15,3.113610e-18,5.589400e-04,6.525310e-12,2.168530e-12,2.577940e-13,2.143590e-19,1.789980e-14,1.257620e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.325000e+03,0.000000e+00,5.575730e-01,1.118440e-14,1.336980e-16,1.613170e-14,8.479990e-01,2.354980e-22,2.553350e-18,1.977620e-21,7.436060e-21,8.944520e-12,1.507090e-01,2.928150e-07,1.100690e-09,2.274490e-14,3.774950e-17,1.292090e-03,1.780840e-11,7.041050e-12,1.317960e-12,8.660920e-19,4.263420e-14,5.888630e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.350000e+03,0.000000e+00,5.813680e-01,2.494700e-14,3.471920e-16,3.185780e-14,8.461860e-01,6.767430e-22,6.118330e-18,4.095620e-21,1.103930e-20,1.331410e-11,1.509210e-01,3.098460e-07,3.679760e-09,1.472950e-13,4.158830e-16,2.892850e-03,4.680410e-11,2.185400e-11,6.325840e-12,3.321310e-18,9.835840e-14,2.599590e-12,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.375000e+03,0.000000e+00,5.975610e-01,5.398580e-14,8.713990e-16,6.133270e-14,8.423470e-01,1.873420e-21,1.422020e-17,8.279950e-21,1.621020e-20,1.953200e-11,1.513700e-01,3.279530e-07,1.175470e-08,8.882320e-13,4.178190e-15,6.282050e-03,1.187060e-10,6.492050e-11,2.855270e-11,1.212330e-17,2.202980e-13,1.084880e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.400000e+03,0.000000e+00,5.985510e-01,1.133800e-13,2.118810e-15,1.151790e-13,8.344590e-01,5.011440e-21,3.214480e-17,1.639710e-20,2.363460e-20,2.825600e-11,1.522940e-01,3.479580e-07,3.592760e-08,4.996010e-12,3.834450e-14,1.324650e-02,2.910900e-10,1.845780e-10,1.211770e-10,4.223230e-17,4.803000e-13,4.288290e-11,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.425000e+03,0.000000e+00,5.704240e-01,2.308780e-13,5.004400e-15,2.109460e-13,8.187260e-01,1.300340e-20,7.091600e-17,3.196970e-20,3.443370e-20,4.031790e-11,1.541360e-01,3.715100e-07,1.051040e-07,2.620260e-11,3.210660e-13,2.713730e-02,6.913790e-10,5.011520e-10,4.819820e-10,1.407530e-16,1.022830e-12,1.606920e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.450000e+03,3.213950e-03,4.894010e-01,4.543620e-13,1.151860e-14,3.760930e-13,7.883000e-01,3.289310e-20,1.534110e-16,6.184470e-20,5.065490e-20,5.670380e-11,1.576990e-01,4.017980e-07,2.939450e-07,1.277200e-10,2.439040e-12,5.400060e-02,1.593160e-09,1.291730e-09,1.781640e-09,4.498330e-16,2.137550e-12,5.704440e-10,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.475000e+03,1.114990e-01,3.189180e-01,8.573940e-13,2.594190e-14,6.491830e-13,7.313940e-01,8.166990e-20,3.275440e-16,1.200630e-19,7.645690e-20,7.834280e-11,1.643620e-01,4.447710e-07,7.833850e-07,5.743990e-10,1.661740e-11,1.042430e-01,3.567220e-09,3.121660e-09,6.018190e-09,1.381530e-15,4.412230e-12,1.913160e-09,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00
0.001,1.500000e+03,2.918580e-01,8.792470e-02,1.551990e-12,5.379740e-14,1.019730e-12,6.528920e-01,1.760350e-19,7.313870e-16,2.622650e-19,1.404270e-19,1.125080e-10,1.735540e-01,4.709750e-07,1.883290e-06,2.134030e-09,8.597260e-11,1.735520e-01,6.485450e-09,6.689340e-09,1.661230e-08,4.085530e-15,9.531830e-12,5.740710e-09,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,1.525000e+03,2.918590e-01,1.165870e-01,2.911010e-12,8.294540e-14,1.269520e-12,6.528900e-01,2.145070e-19,1.982270e-15,8.670520e-19,4.891370e-19,2.101850e-10,1.735540e-01,3.596480e-07,3.529060e-06,4.886970e-09,2.175670e-10,1.735510e-01,5.377860e-09,1.185030e-08,3.015700e-08,1.165540e-14,2.501120e-11,1.332310e-08,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
